file	beg	end	text	speaker
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.17	0.35	and	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.35	0.53	your	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.53	0.88	eyes	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.88	0.97	are	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.97	1.71	particularly	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	1.71	2.34	blue	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	2.84	3.01	and	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	3.01	3.13	your	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	3.13	3.81	feelings	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	3.81	4.02	may	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	4.02	4.17	be	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	4.17	4.85	fading	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	5.11	5.32	and	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	5.32	5.6	grow	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	5.6	6.31	blank	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.12	7.24	but	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.24	7.34	the	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.34	7.75	soap	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.75	7.9	is	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.9	8.36	happy	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	8.36	8.58	it's	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	8.58	9.01	you	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	22.34	22.47	I	3
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	22.47	22.65	was	3
