file	beg	end	text	speaker
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.18	0.81	speaking	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.81	0.97	of	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.97	1.67	sewers	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	1.96	2.14	and	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	2.14	2.24	of	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	2.24	3.02	myself	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.23	3.8	sticking	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.8	3.9	a	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.9	4.26	bit	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.48	4.64	of	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.64	4.74	the	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.74	5.23	lighter's	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	5.23	5.8	flame	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	5.94	6.48	stinking	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.48	6.73	like	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.73	6.98	that	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.98	7.48	rotten	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	7.48	8.08	apple	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	8.23	8.84	stinking	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	8.87	9.08	of	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	9.17	9.79	stupid	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	9.79	10.5	songs	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	10.55	11.11	songs	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	11.14	12.05	nowadays	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.29	12.52	and	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.52	12.7	of	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.7	13.46	myself	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	13.78	14.44	collected	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	14.44	15.2	garbage	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	15.29	15.6	gives	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	15.6	16.06	off	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	16.25	16.39	a	1
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	16.39	17.04	distinct	1
