file	beg	end	text	speaker
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.14	10.26	i	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.26	10.48	think	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.48	10.7	i	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.7	10.98	closed	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.98	11.16	the	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	11.16	12.62	swiss	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	12.62	15.12	group	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.12	15.34	with	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.34	15.42	a	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.42	15.68	pair	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.68	15.8	of	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.8	17.34	sausage	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.34	17.46	in	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.46	17.58	the	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.58	17.76	end	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.76	17.88	of	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.88	22.68	the	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	22.68	23.08	it's	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.08	23.38	called	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.38	23.6	weight	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.6	23.78	less	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.78	23.92	than	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.92	24.06	the	0
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.06	24.4	shadow	0
