file	beg	end	text	speaker
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	1.86	2.04	i	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.04	2.3	thought	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.3	2.4	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.4	2.54	go	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.54	2.7	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.7	3.28	chicago	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	3.28	3.44	right	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	3.44	4.28	away	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	4.28	4.56	and	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	4.56	5.3	suddenly	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	5.76	7.22	inexplicably	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.22	7.44	my	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.44	7.76	will	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.76	8.1	failed	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	8.1	9.14	me	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	9.74	9.92	was	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	9.92	10.06	it	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.06	10.2	that	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.2	10.4	i'd	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.4	10.7	gotten	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.7	10.9	so	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.9	11.36	accustomed	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.36	11.48	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.48	11.72	living	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.72	11.9	all	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.9	12.06	by	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.06	12.54	myself	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.54	12.8	during	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.8	12.92	the	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.92	13.22	past	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	13.22	13.46	four	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	13.46	14.16	months	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.16	14.34	that	0
