file	beg	end	text	speaker
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.2	0.38	when	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.38	0.54	the	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.54	0.88	bunk	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.88	1.18	shook	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.18	1.42	so	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.42	1.78	hard	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.78	2.18	stuff	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.18	2.42	fell	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.42	2.58	from	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.58	2.74	the	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.74	3.8	ceiling	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	3.8	4.0	he	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.0	4.24	saw	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.24	4.52	whose	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.52	4.72	hand	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.72	4.86	it	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.86	6.28	was	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.28	6.42	but	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.42	6.54	the	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.54	6.8	woman	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.8	6.94	had	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.94	7.16	pulled	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.16	7.32	him	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.32	7.52	so	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.52	7.9	strongly	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.9	8.18	into	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.18	8.34	her	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.34	8.58	front	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.58	8.72	at	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.72	8.8	a	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.8	9.06	button	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	9.06	9.18	of	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	9.18	9.36	her	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	9.36	9.9	dress	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	9.9	10.1	had	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	10.1	10.3	dug	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	10.3	10.52	in	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	10.52	10.76	his	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	10.76	11.38	cheek	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	11.38	11.7	above	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	11.7	11.84	the	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	11.84	12.6	bone	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	12.6	12.82	and	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	12.82	13.04	that	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	13.04	13.36	pain	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	13.36	13.6	took	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	13.6	16.3	over	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	16.3	16.56	but	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	16.56	16.82	after	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	16.82	19.1	that	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	19.1	19.34	but	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	19.34	19.64	after	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	19.64	21.18	that	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	21.18	21.36	he	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	21.36	21.6	saw	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	21.6	21.76	the	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	21.76	22.06	hand	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	22.06	23.32	of	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	23.32	23.86	looking	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	23.86	24.06	where	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	24.06	24.18	it	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	24.18	24.4	was	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	24.4	24.66	cut	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	24.66	26.04	through	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	26.58	26.82	just	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	26.82	27.02	like	1
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	27.02	27.16	the	1
