file	beg	end	text	speaker
Clay-Steve_Close-Listening_5-17-21	0.8	0.87	a	3
Clay-Steve_Close-Listening_5-17-21	0.87	1.48	fascinating	3
Clay-Steve_Close-Listening_5-17-21	1.48	1.82	thing	3
Clay-Steve_Close-Listening_5-17-21	1.82	2.05	and	3
Clay-Steve_Close-Listening_5-17-21	2.08	2.54	now	3
Clay-Steve_Close-Listening_5-17-21	2.57	2.71	we	3
Clay-Steve_Close-Listening_5-17-21	2.71	3.01	both	3
Clay-Steve_Close-Listening_5-17-21	3.01	3.14	had	3
Clay-Steve_Close-Listening_5-17-21	3.14	3.19	a	3
Clay-Steve_Close-Listening_5-17-21	3.19	3.52	chance	3
Clay-Steve_Close-Listening_5-17-21	3.52	3.7	to	3
Clay-Steve_Close-Listening_5-17-21	3.7	3.96	read	3
Clay-Steve_Close-Listening_5-17-21	3.96	4.39	more	3
Clay-Steve_Close-Listening_5-17-21	4.57	5.02	literary	3
Clay-Steve_Close-Listening_5-17-21	5.02	5.63	history	3
Clay-Steve_Close-Listening_5-17-21	5.82	6.1	so	3
Clay-Steve_Close-Listening_5-17-21	6.1	6.31	so	3
Clay-Steve_Close-Listening_5-17-21	6.31	6.44	we	3
Clay-Steve_Close-Listening_5-17-21	6.44	6.55	know	3
Clay-Steve_Close-Listening_5-17-21	6.55	6.79	going	3
Clay-Steve_Close-Listening_5-17-21	6.79	6.97	back	3
Clay-Steve_Close-Listening_5-17-21	6.97	7.09	to	3
Clay-Steve_Close-Listening_5-17-21	7.09	7.48	Blake	3
Clay-Steve_Close-Listening_5-17-21	7.48	7.57	of	3
Clay-Steve_Close-Listening_5-17-21	7.57	7.98	course	3
Clay-Steve_Close-Listening_5-17-21	7.98	8.19	was	3
Clay-Steve_Close-Listening_5-17-21	8.19	8.42	such	3
Clay-Steve_Close-Listening_5-17-21	8.42	8.5	an	3
Clay-Steve_Close-Listening_5-17-21	8.5	9.21	outsider	3
Clay-Steve_Close-Listening_5-17-21	9.24	9.88	printed	3
Clay-Steve_Close-Listening_5-17-21	10.23	10.43	and	3
Clay-Steve_Close-Listening_5-17-21	10.43	11.05	engrave	3
Clay-Steve_Close-Listening_5-17-21	11.05	11.53	craters	3
Clay-Steve_Close-Listening_5-17-21	11.53	11.74	on	3
Clay-Steve_Close-Listening_5-17-21	11.74	12.08	gravy	3
Clay-Steve_Close-Listening_5-17-21	12.08	12.51	techniques	3
Clay-Steve_Close-Listening_5-17-21	12.51	12.63	is	3
Clay-Steve_Close-Listening_5-17-21	12.63	12.9	own	3
Clay-Steve_Close-Listening_5-17-21	12.9	13.43	books	3
Clay-Steve_Close-Listening_5-17-21	13.8	14.09	but	3
Clay-Steve_Close-Listening_5-17-21	14.77	15.4	most	3
Clay-Steve_Close-Listening_5-17-21	15.63	16.72	literary	3
Clay-Steve_Close-Listening_5-17-21	16.72	17.04	most	3
Clay-Steve_Close-Listening_5-17-21	17.04	17.45	poets	3
Clay-Steve_Close-Listening_5-17-21	17.45	17.94	exist	3
Clay-Steve_Close-Listening_5-17-21	17.94	18.38	within	3
Clay-Steve_Close-Listening_5-17-21	19.48	19.73	get	3
Clay-Steve_Close-Listening_5-17-21	19.73	19.81	a	3
Clay-Steve_Close-Listening_5-17-21	19.81	20.31	micro	3
Clay-Steve_Close-Listening_5-17-21	20.31	21.1	networks	3
Clay-Steve_Close-Listening_5-17-21	21.13	21.67	of	3
Clay-Steve_Close-Listening_5-17-21	22.48	23.29	publishers	3
Clay-Steve_Close-Listening_5-17-21	23.29	23.53	old	3
Clay-Steve_Close-Listening_5-17-21	23.9	24.6	bookstores	3
Clay-Steve_Close-Listening_5-17-21	24.6	24.73	to	3
Clay-Steve_Close-Listening_5-17-21	24.73	25.23	publish	3
Clay-Steve_Close-Listening_5-17-21	25.23	25.4	their	3
Clay-Steve_Close-Listening_5-17-21	25.4	25.86	work	3
Clay-Steve_Close-Listening_5-17-21	26.14	26.32	and	3
Clay-Steve_Close-Listening_5-17-21	26.32	26.45	that	3
Clay-Steve_Close-Listening_5-17-21	26.45	27.08	circulate	3
Clay-Steve_Close-Listening_5-17-21	27.08	27.17	to	3
Clay-Steve_Close-Listening_5-17-21	27.17	27.44	other	3
Clay-Steve_Close-Listening_5-17-21	27.44	27.91	poets	3
Clay-Steve_Close-Listening_5-17-21	27.91	28.01	and	3
Clay-Steve_Close-Listening_5-17-21	28.01	28.08	you	3
Clay-Steve_Close-Listening_5-17-21	28.08	28.21	can	3
Clay-Steve_Close-Listening_5-17-21	28.21	28.39	sort	3
Clay-Steve_Close-Listening_5-17-21	28.39	28.45	of	3
Clay-Steve_Close-Listening_5-17-21	28.45	28.9	trace	3
Clay-Steve_Close-Listening_5-17-21	28.9	29.1	what	3
Clay-Steve_Close-Listening_5-17-21	29.1	29.32	those	3
Clay-Steve_Close-Listening_5-17-21	29.32	29.94	networks	3
Clay-Steve_Close-Listening_5-17-21	29.94	30.44	are	3
Clay-Steve_Close-Listening_5-17-21	30.99	31.16	and	3
Clay-Steve_Close-Listening_5-17-21	31.16	31.23	I'm	3
Clay-Steve_Close-Listening_5-17-21	31.23	31.38	not	3
Clay-Steve_Close-Listening_5-17-21	31.38	31.58	saying	3
Clay-Steve_Close-Listening_5-17-21	31.58	32.01	network	3
