file	beg	end	text	speaker
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	0.58	1.02	arrows	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.02	1.3	and	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.3	1.8	arrow	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.8	2.24	same	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	2.24	2.64	damn	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	2.64	4.16	deal	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	4.16	4.54	kissing	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	4.54	5.22	eliminates	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.22	5.62	fusion	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.62	5.8	of	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.8	6.44	agitation	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	6.44	6.66	and	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	6.66	8.54	dreams	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	8.54	8.92	folded	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	8.92	9.06	in	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	9.06	9.2	the	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	9.2	10.4	days	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	10.4	10.6	the	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	10.6	11.24	surprising	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.24	11.68	moments	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.68	11.88	with	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.88	14.04	you	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.04	14.24	look	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.24	14.52	under	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.52	14.78	pain	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.78	15.0	and	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.0	15.38	find	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.38	15.6	me	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.6	15.74	of	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.74	15.96	course	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.96	16.16	they	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	16.16	16.4	still	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	16.4	16.6	love	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	16.6	17.04	you	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	17.04	17.22	i'm	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	17.22	17.48	glad	0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	17.48	17.68	you	0
