file	beg	end	text	speaker
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	0.28	0.64	but	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	0.64	1.14	but	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	1.14	1.56	but	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	1.56	2.22	she	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	2.22	2.36	i	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	2.36	2.7	think	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	2.7	2.86	that	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	2.86	3.34	you	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	3.34	3.66	she's	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	3.66	4.44	resignedly	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.44	4.58	in	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.58	4.76	his	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.76	4.98	way	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.98	5.3	wanting	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.3	5.4	to	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.4	5.5	be	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.5	7.02	there	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	7.02	7.34	and	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	7.34	7.68	laying	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	7.68	8.42	claim	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.42	8.64	it's	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.64	8.76	one	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.76	8.86	of	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.86	8.98	the	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.98	9.34	places	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.34	9.52	where	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.52	9.7	you	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.7	9.94	began	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.94	10.02	to	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.02	10.18	get	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.18	10.48	furious	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.48	10.68	because	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.68	10.86	you	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.86	11.14	realize	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.14	11.36	you	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.36	11.72	something	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.72	11.9	being	0
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.9	12.18	laid	0
