file	beg	end	text	speaker
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.25	0.82	nowadays	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.82	0.91	the	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.91	1.16	more	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.16	1.22	or	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.22	1.41	less	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.41	1.88	content	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.88	2.02	to	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.02	2.18	let	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.18	2.25	a	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.25	2.49	lot	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.49	2.58	of	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.58	2.88	things	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.88	3.09	take	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.09	3.22	their	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.22	3.4	own	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.4	3.89	courses	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.89	4.08	like	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	4.08	4.58	amiable	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	4.58	5.06	rivers	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.31	5.61	making	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.61	5.85	blue	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.85	6.26	lines	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.26	6.51	down	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.51	6.58	the	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.58	6.82	map	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.82	6.92	of	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.92	7.47	history	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.02	8.14	I'm	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.14	8.32	not	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.32	8.59	saying	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.59	8.78	that	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	8.78	9.26	something's	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	9.26	9.44	going	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	9.44	9.53	to	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	10.0	10.18	me	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	10.18	10.3	they	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	10.3	10.74	certainly	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	10.74	11.13	do	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	11.16	11.32	but	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	11.32	11.45	I've	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	11.45	11.79	learned	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	11.79	12.2	mostly	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	12.2	12.41	through	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	12.41	12.79	stupid	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	12.79	13.54	repetition	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	13.84	13.95	the	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	13.95	14.24	same	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	14.24	14.78	patients	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	14.81	14.96	I	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	14.96	15.34	applied	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	15.34	15.42	to	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	15.42	15.57	my	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	15.57	15.84	own	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	15.84	16.22	work	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	16.58	16.92	moving	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	16.92	17.11	them	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	17.11	17.39	out	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	17.39	17.51	of	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	17.51	17.88	range	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	17.88	18.0	of	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	18.0	18.22	good	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	18.22	18.38	and	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	18.38	18.73	evil	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	18.73	18.93	is	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	18.93	19.59	applicables	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	19.86	19.94	in	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	19.94	20.0	a	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	20.0	20.5	romantic	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	20.5	20.7	way	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	20.7	20.82	I	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	20.82	21.12	guess	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	21.12	21.28	two	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	21.28	21.69	things	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	21.69	22.2	natural	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	22.2	22.44	and	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	22.44	23.13	unnatural	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	23.49	23.99	outside	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	23.99	24.51	myself	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	24.51	24.66	I'm	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	24.66	24.82	on	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	24.82	25.06	better	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	25.06	25.6	terms	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	25.86	25.99	though	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	25.99	26.28	still	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	26.28	26.53	able	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	26.53	26.65	to	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	26.65	26.85	bear	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	26.85	27.33	grudges	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	27.33	27.51	with	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	27.51	27.87	most	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	27.87	28.17	things	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	28.17	28.28	in	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	28.28	28.77	people	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	29.04	29.28	more	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	29.28	29.77	socially	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	29.96	30.49	socially	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	30.49	31.18	amiable	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	31.88	32.1	no	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	32.1	32.4	longer	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	32.4	32.8	stand	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	32.8	32.88	in	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	32.88	32.95	the	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	32.95	33.25	corner	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	33.25	33.41	at	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	33.41	33.83	parties	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	33.83	34.19	facing	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	34.19	34.44	into	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	34.44	34.54	the	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	34.54	34.89	wall	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	34.89	35.3	spelling	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	35.3	35.39	the	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	35.39	35.66	school	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	35.66	35.89	like	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	35.89	36.33	plaster	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	36.33	36.61	getting	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	36.61	37.18	plastered	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	37.73	37.97	now	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	37.97	38.08	I	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	38.08	38.41	talk	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	38.41	38.51	it	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	38.51	38.75	up	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	38.75	38.89	and	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	38.89	39.15	even	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	39.15	39.38	went	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	39.38	39.7	down	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	39.7	39.92	never	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	39.92	40.25	talked	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	40.25	40.68	down	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	40.96	41.16	but	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	41.16	41.6	remain	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	41.6	42.25	subdued	0
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	42.83	43.01	I've	0
