file	beg	end	text	speaker
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	0.78	0.98	there	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	0.98	1.14	is	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.14	1.43	no	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.43	2.17	arguing	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	2.29	2.54	with	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	2.54	3.12	vain	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	3.12	3.8	terra	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	3.95	4.2	and	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	4.23	5.43	negligence	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.35	6.51	I	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.51	6.75	am	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.86	7.39	very	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	7.52	8.3	unwilling	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.46	8.71	and	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.71	8.9	also	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.9	9.66	blazed	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	9.77	9.93	to	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	9.93	10.27	right	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.27	10.4	by	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.4	10.98	history	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.98	11.13	of	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	11.13	12.03	melancholy	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.27	12.45	but	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.45	12.61	to	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.61	12.95	let	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	13.08	13.62	madam	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	13.62	14.01	do	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	14.01	14.33	what	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	14.53	15.22	unhappy	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	15.22	15.93	fancy	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	15.93	16.18	that	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	16.31	17.22	confinements	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	17.22	17.39	and	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	17.39	18.27	fences	1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	18.78	19.04	too	1
