file	beg	end	text	speaker
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	0.74	1.15	full	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	1.22	1.82	disclaimer	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	2.82	3.03	from	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.03	3.14	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.14	3.58	gaming	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.58	4.02	table	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.02	4.15	to	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.15	4.27	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.27	4.63	early	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.63	5.13	opener	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.46	5.6	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.6	5.96	risk	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.99	6.13	of	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	6.13	6.5	needle	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	6.5	6.93	stick	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	6.96	7.19	not	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.22	7.72	obvious	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.72	7.85	but	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.85	7.95	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.95	8.35	first	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	8.35	8.66	missed	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	8.66	9.22	call	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	9.37	9.63	those	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	9.63	10.02	six	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.02	10.57	trips	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.57	10.87	good	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.91	11.06	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	11.06	11.43	dance	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	11.43	11.88	floor	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.02	12.21	and	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.24	12.66	online	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.69	12.85	it's	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.85	13.4	center	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	13.9	14.36	eleven	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	14.36	14.51	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	14.51	15.07	squirrel	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.07	15.68	opaque	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.71	15.95	with	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.95	16.18	dry	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	16.18	16.9	ice	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.16	17.27	a	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.27	17.87	paradox	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.87	18.0	of	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	18.0	18.4	people	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	18.4	19.02	cloistered	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.02	19.2	in	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.2	19.29	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.29	20.03	wild	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.31	20.42	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.42	20.85	state	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.88	21.04	of	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	21.04	21.47	nature	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	21.47	21.64	re	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	21.64	22.32	aligning	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	22.44	22.57	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	22.57	23.26	recognition	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.26	23.38	in	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.38	23.46	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.46	23.94	drama	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.94	24.08	of	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	24.08	25.07	substances	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	25.44	25.57	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	25.57	26.09	solitary	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.09	26.43	act	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.43	26.6	up	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.6	27.0	holding	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	27.0	27.1	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	27.1	27.37	Cup	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	27.4	27.94	hi	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	28.25	28.97	projecting	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	29.05	29.29	his	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	29.29	29.83	voice	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.03	30.15	at	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.15	30.26	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.26	30.58	light	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.61	30.81	at	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.81	31.47	ceiling	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	31.71	32.09	calling	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	32.09	32.31	from	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	32.31	32.76	all	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	33.13	33.25	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	33.25	33.84	recognition	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	33.84	34.49	inadequate	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	34.91	35.02	a	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	35.02	35.53	ploy	1
