file	beg	end	text	speaker
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.06	1.22	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.22	1.58	big	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.58	2.32	evergreen	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	2.32	2.94	tree	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	2.94	3.38	stands	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	3.38	3.96	outside	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	3.96	4.22	my	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	4.22	5.66	window	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	5.66	5.96	its	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	5.96	6.6	roots	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	6.6	7.2	mumble	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.2	7.5	under	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.5	7.66	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.66	9.76	surface	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	9.76	9.9	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	9.9	10.38	long	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	10.38	11.06	concrete	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	11.06	12.28	divider	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	12.28	12.96	steps	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	12.96	13.2	three	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.2	13.34	at	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.34	13.48	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.48	14.82	time	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	14.82	15.38	sky	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	15.38	15.8	cloudy	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	15.8	16.04	and	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	16.04	17.44	heavy	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	17.44	18.02	squeezing	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	18.02	18.38	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	18.38	18.82	thin	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	18.82	19.2	layer	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	19.2	19.44	of	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	19.44	20.14	light	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	20.14	20.62	against	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	20.62	20.8	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	20.8	22.5	city	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	22.5	22.72	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	22.72	23.36	first	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	23.36	23.72	red	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	23.72	24.54	leaves	1
