file	beg	end	text	speaker
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.17	0.3	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.3	0.72	desert	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.72	1.27	brushes	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.27	1.72	burning	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.72	1.84	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.84	2.37	cocoon	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	2.53	3.01	hammock	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.01	3.16	for	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.16	3.66	sap	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.82	4.09	which	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.09	4.22	is	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.22	4.35	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.35	4.67	hundred	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.67	5.04	minus	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.04	5.38	Kerry	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.38	5.53	by	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.53	5.63	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.63	6.23	boys	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	6.45	6.64	they're	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	6.64	7.04	curing	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.04	7.16	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.16	7.6	wrapped	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.6	8.1	cocoon	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	8.1	8.28	on	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	8.28	8.95	polls	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.12	9.23	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.23	9.53	earth	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.53	9.94	before	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.94	10.16	him	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	10.16	10.33	is	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	10.33	10.89	cracked	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	11.21	11.49	but	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	11.49	11.95	above	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	11.98	12.3	it	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.37	12.58	it	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.58	12.82	is	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.82	13.27	mine	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.27	13.38	is	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.38	13.79	covered	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.79	13.96	by	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.96	14.07	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.07	14.39	heavy	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.39	14.92	sky	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.92	15.11	they	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	15.11	15.6	trot	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	15.63	15.86	on	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	15.86	16.02	it	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	16.02	16.83	sticks	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	17.09	17.28	it	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	17.31	17.78	isn't	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	18.22	18.65	that	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	19.0	19.14	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	19.14	19.44	only	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	19.44	20.1	paradise	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	20.1	20.23	is	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	20.23	20.49	not	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	20.49	20.78	being	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	20.78	21.27	that	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	21.47	21.58	they	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	21.58	21.81	had	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	21.81	21.91	a	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	21.91	22.33	demand	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.33	22.54	is	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.54	22.71	but	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.71	22.8	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.8	23.18	boys	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	23.18	23.64	aren't	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	23.85	24.07	from	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	24.07	24.36	above	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	24.36	24.47	the	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	24.47	24.9	lines	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	24.9	25.07	and	0
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	25.07	25.4	ridges	0
