file	beg	end	text	speaker
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	0.38	0.82	finding	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	0.82	1.0	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	1.0	1.48	council	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	1.48	2.24	of	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	2.24	2.48	of	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	2.48	2.88	dreams	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	2.88	3.06	and	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	3.06	3.42	old	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	3.42	4.2	tune	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	4.2	4.4	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	4.4	4.78	band	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	4.78	5.38	itself	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	5.38	5.66	have	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	5.66	6.58	forgotten	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	6.58	7.02	beneath	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	7.02	7.18	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	7.18	7.6	shards	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	7.6	7.8	of	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	7.8	8.34	melody	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	8.34	8.52	to	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	8.52	8.94	locate	1
