file	beg	end	text	speaker
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	0.08	0.61	wouldn't	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	0.7	1.13	that	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.13	1.46	not	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.46	1.59	sure	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.59	1.95	cool	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.95	2.35	also	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	2.35	2.5	be	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	2.5	2.98	melting	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	2.98	3.09	at	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.09	3.18	the	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.18	3.49	same	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.49	4.05	time	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	4.08	4.75	humpback	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	4.78	5.31	whale	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	5.61	5.79	and	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	5.79	5.96	then	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	5.96	6.21	and	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.21	6.32	then	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.32	6.44	the	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.44	6.96	I'll	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.96	7.18	pass	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.18	7.35	and	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.35	7.41	the	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.41	7.92	tropical	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.92	8.22	ice	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.22	8.67	caps	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.67	8.83	and	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.83	8.89	the	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.89	9.49	polls	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	9.52	10.09	Indiana	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	10.09	10.63	bat	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.13	11.29	and	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.29	11.44	then	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.44	11.59	they	1
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.59	11.98	read	1
