file	beg	end	text	speaker
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.22	0.32	so	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.32	0.42	i'm	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.42	0.56	going	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.56	0.64	to	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.64	0.78	have	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.78	1.42	these	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	1.42	1.84	uh	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	1.84	2.6	uh	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	2.6	2.98	large	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	2.98	3.3	cube	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	3.3	4.56	problems	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	4.56	4.86	of	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	4.86	5.2	almost	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	5.2	6.02	abstract	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	6.02	6.72	uh	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	6.72	7.06	images	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.06	7.26	because	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.26	7.48	they	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.48	7.74	they'll	1
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.74	8.14	be	1
