file	beg	end	text	speaker
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.0	0.33	You	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.33	0.51	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.51	1.02	gallons	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.02	1.11	and	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.11	1.56	gallons	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.56	1.65	of	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.65	2.28	gasoline	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.28	2.4	and	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.4	2.76	huge	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.76	3.24	tankers	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.24	3.36	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.36	3.45	are	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.45	4.05	explosive	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.05	4.17	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.17	4.32	are	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.38	4.83	flying	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.83	5.67	explosives	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.6	6.69	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.69	6.84	mean	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.84	6.96	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.96	7.11	don't	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.11	7.41	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.41	7.53	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.53	7.68	mean	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.68	7.83	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.83	8.19	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.19	8.37	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.37	8.58	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.79	8.97	but	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.97	9.09	they	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.09	9.21	don't	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.21	9.45	talk	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.45	9.69	about	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.69	9.96	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.05	10.32	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.44	10.56	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.56	10.8	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.86	11.07	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.46	11.61	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.61	11.76	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.76	11.88	they	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.88	12.15	say	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.15	12.27	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.78	12.9	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.9	13.2	food	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.2	13.53	nearly	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.53	13.77	didn't	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.77	14.04	reach	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.04	14.13	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.13	14.28	f	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.385	14.605	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.82	14.88	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.88	15.27	troops	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.27	15.45	let	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.45	15.69	alone	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.69	15.9	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.9	16.56	humanitarian	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.56	16.71	aid	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.71	16.77	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.77	17.01	food	0
