file	beg	end	text	speaker
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.24	0.3	If	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.3	0.36	it	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.36	0.54	was	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.54	0.78	such	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	0.78	1.47	precision	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.47	1.65	that	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.65	1.83	it's	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	1.83	2.04	very	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	2.04	2.58	exciting	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	2.58	2.76	His	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.3	3.42	for	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.42	3.66	instance	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	3.66	3.99	he'll	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	5.34	6.0	describe	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	6.0	6.3	the	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	6.75	7.44	reflection	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.44	7.59	of	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.59	7.71	a	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	7.71	8.13	pin	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.13	8.34	on	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.34	8.49	an	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	8.49	9.12	apple	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.05	10.2	the	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.2	10.68	shadow	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.68	10.83	of	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.83	10.92	a	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	10.92	11.25	pin	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	11.25	11.43	on	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	11.43	11.55	an	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	11.55	12.09	apple	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	13.14	13.8	Um	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	14.46	14.88	that's	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	14.88	15.24	uh	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	16.05	16.23	that	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	16.23	16.44	got	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	16.44	16.56	me	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	16.56	17.25	interested	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	17.91	18.03	Yeah	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	18.03	18.24	And	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	19.38	19.65	but	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	21.42	21.75	yeah	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	22.38	22.89	then	0
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	23.91	24.0	But	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	24.0	24.15	what	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	24.15	24.36	what	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	24.36	24.57	set	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	24.57	24.69	you	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	24.69	24.78	to	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	24.78	25.26	translate	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	25.26	25.53	him	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	25.62	25.71	I	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	25.71	25.83	mean	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	25.83	25.98	was	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	25.98	26.1	it	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	26.4	26.49	I	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	26.49	26.64	know	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	26.64	26.76	there	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	26.76	26.88	was	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	26.88	27.18	some	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	27.24	27.39	of	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	27.39	27.54	your	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	27.54	28.2	translations	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	28.2	28.32	in	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	28.32	28.83	Evergreen	1
Ashbery-John_Complete-Recording_Honoring-Illuminations-Translation_NYU_5-12-11	28.83	29.43	review	1
