file	beg	end	text	speaker
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	0.0	0.36	As	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	0.36	0.54	the	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	0.54	1.02	wallet	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	1.02	1.65	trembled	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	1.65	1.8	and	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	1.8	2.13	bill	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	2.13	2.64	slid	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	2.64	2.88	in	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	2.88	3.03	and	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	3.03	3.33	out	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	3.33	3.42	of	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	3.42	3.87	it	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	4.65	4.77	I	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	4.77	5.16	want	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	5.16	5.43	that	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	5.43	6.33	information	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	6.33	6.66	very	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	6.66	7.02	much	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	7.02	7.59	today	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	8.43	8.82	Can't	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	8.82	9.18	have	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	9.18	9.48	it	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	9.99	10.17	and	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	10.17	10.41	this	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	10.41	10.77	makes	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	10.77	11.04	me	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	11.04	11.76	angry	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	12.72	12.84	I	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	12.84	13.14	shall	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	13.14	13.59	use	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	13.59	13.83	my	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	13.83	14.28	anger	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	14.28	14.43	to	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	14.43	14.85	build	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	14.85	14.91	a	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	14.91	15.42	bridge	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	15.75	16.02	like	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	16.02	16.38	that	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	16.59	16.77	of	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	16.77	17.43	Avignon	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	17.94	18.09	on	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	18.09	18.33	which	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	18.33	18.72	people	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	18.72	18.93	may	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	18.93	19.41	dance	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	19.41	19.56	for	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	19.62	19.71	the	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	19.71	20.22	feeling	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	20.22	20.37	of	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	20.37	20.97	dancing	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	20.97	21.21	on	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	21.21	21.27	a	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	21.27	21.96	bridge	0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	22.77	22.86	I	0
