file	beg	end	text	speaker
Ashbery-John_Complete-Recording_St-Marks_NY	0.225	0.445	To	0
Ashbery-John_Complete-Recording_St-Marks_NY	0.445	0.685	fall	0
Ashbery-John_Complete-Recording_St-Marks_NY	0.685	0.845	at	0
Ashbery-John_Complete-Recording_St-Marks_NY	0.845	1.045	our	0
Ashbery-John_Complete-Recording_St-Marks_NY	1.045	1.325	feet	0
Ashbery-John_Complete-Recording_St-Marks_NY	1.475	1.765	Like	0
Ashbery-John_Complete-Recording_St-Marks_NY	1.965	2.445	Crocuses	0
Ashbery-John_Complete-Recording_St-Marks_NY	3.585	3.805	All	0
Ashbery-John_Complete-Recording_St-Marks_NY	3.805	3.925	of	0
Ashbery-John_Complete-Recording_St-Marks_NY	3.925	4.085	our	0
Ashbery-John_Complete-Recording_St-Marks_NY	4.085	4.405	lives	0
Ashbery-John_Complete-Recording_St-Marks_NY	4.785	5.005	is	0
Ashbery-John_Complete-Recording_St-Marks_NY	5.085	5.205	a	0
Ashbery-John_Complete-Recording_St-Marks_NY	5.375	5.725	rebus	0
Ashbery-John_Complete-Recording_St-Marks_NY	6.065	6.285	of	0
Ashbery-John_Complete-Recording_St-Marks_NY	6.285	6.565	little	0
Ashbery-John_Complete-Recording_St-Marks_NY	6.565	6.885	wooden	0
Ashbery-John_Complete-Recording_St-Marks_NY	6.995	7.485	animals	0
Ashbery-John_Complete-Recording_St-Marks_NY	7.795	8.285	painted	0
Ashbery-John_Complete-Recording_St-Marks_NY	8.625	8.845	shy	0
Ashbery-John_Complete-Recording_St-Marks_NY	9.285	9.445	terrific	0
Ashbery-John_Complete-Recording_St-Marks_NY	9.465	9.885	colors	0
Ashbery-John_Complete-Recording_St-Marks_NY	10.635	11.325	magnificent	0
Ashbery-John_Complete-Recording_St-Marks_NY	11.345	11.565	and	0
Ashbery-John_Complete-Recording_St-Marks_NY	11.925	11.965	horrible	0
Ashbery-John_Complete-Recording_St-Marks_NY	12.535	12.885	close	0
Ashbery-John_Complete-Recording_St-Marks_NY	13.205	13.365	together	0
Ashbery-John_Complete-Recording_St-Marks_NY	14.165	14.385	the	0
Ashbery-John_Complete-Recording_St-Marks_NY	14.385	14.585	message	0
Ashbery-John_Complete-Recording_St-Marks_NY	14.685	14.905	is	0
Ashbery-John_Complete-Recording_St-Marks_NY	14.905	15.185	learned	0
Ashbery-John_Complete-Recording_St-Marks_NY	15.185	15.385	The	0
Ashbery-John_Complete-Recording_St-Marks_NY	15.385	15.505	way	0
Ashbery-John_Complete-Recording_St-Marks_NY	15.505	15.825	light	0
Ashbery-John_Complete-Recording_St-Marks_NY	16.005	16.225	at	0
Ashbery-John_Complete-Recording_St-Marks_NY	16.245	16.465	the	0
Ashbery-John_Complete-Recording_St-Marks_NY	16.465	16.665	edge	0
Ashbery-John_Complete-Recording_St-Marks_NY	16.665	16.785	of	0
Ashbery-John_Complete-Recording_St-Marks_NY	16.825	16.945	a	0
Ashbery-John_Complete-Recording_St-Marks_NY	16.945	17.225	beach	0
Ashbery-John_Complete-Recording_St-Marks_NY	17.225	17.425	in	0
Ashbery-John_Complete-Recording_St-Marks_NY	17.705	17.985	autumn	0
Ashbery-John_Complete-Recording_St-Marks_NY	18.005	18.225	is	0
Ashbery-John_Complete-Recording_St-Marks_NY	18.225	18.585	learned	0
Ashbery-John_Complete-Recording_St-Marks_NY	19.485	19.705	The	0
Ashbery-John_Complete-Recording_St-Marks_NY	19.825	20.225	seasons	0
Ashbery-John_Complete-Recording_St-Marks_NY	20.225	20.425	are	0
Ashbery-John_Complete-Recording_St-Marks_NY	20.505	21.305	superimposed	0
Ashbery-John_Complete-Recording_St-Marks_NY	22.165	22.385	in	0
Ashbery-John_Complete-Recording_St-Marks_NY	22.385	22.785	New York	0
Ashbery-John_Complete-Recording_St-Marks_NY	22.805	23.025	We	0
Ashbery-John_Complete-Recording_St-Marks_NY	23.025	23.185	have	0
Ashbery-John_Complete-Recording_St-Marks_NY	23.185	23.425	winter	0
Ashbery-John_Complete-Recording_St-Marks_NY	23.485	23.705	in	0
Ashbery-John_Complete-Recording_St-Marks_NY	23.705	24.025	August	0
Ashbery-John_Complete-Recording_St-Marks_NY	24.565	24.785	as	0
Ashbery-John_Complete-Recording_St-Marks_NY	24.785	24.945	they	0
Ashbery-John_Complete-Recording_St-Marks_NY	24.945	25.105	do	0
Ashbery-John_Complete-Recording_St-Marks_NY	25.105	25.265	in	0
Ashbery-John_Complete-Recording_St-Marks_NY	25.375	25.985	Argentina	0
Ashbery-John_Complete-Recording_St-Marks_NY	25.985	26.185	and	0
Ashbery-John_Complete-Recording_St-Marks_NY	26.185	26.705	Australia	0
Ashbery-John_Complete-Recording_St-Marks_NY	27.725	28.145	Spring	0
Ashbery-John_Complete-Recording_St-Marks_NY	28.165	28.385	is	0
Ashbery-John_Complete-Recording_St-Marks_NY	28.515	28.865	leafy	0
Ashbery-John_Complete-Recording_St-Marks_NY	28.865	29.065	and	0
Ashbery-John_Complete-Recording_St-Marks_NY	29.095	29.385	cold	0
Ashbery-John_Complete-Recording_St-Marks_NY	30.025	30.305	Autumn	0
Ashbery-John_Complete-Recording_St-Marks_NY	30.375	30.665	pale	0
Ashbery-John_Complete-Recording_St-Marks_NY	30.665	30.865	and	0
Ashbery-John_Complete-Recording_St-Marks_NY	30.965	31.185	dry	0
Ashbery-John_Complete-Recording_St-Marks_NY	31.985	32.205	the	0
Ashbery-John_Complete-Recording_St-Marks_NY	32.385	32.605	and	0
Ashbery-John_Complete-Recording_St-Marks_NY	32.605	32.885	changes	0
Ashbery-John_Complete-Recording_St-Marks_NY	33.055	33.405	build	0
Ashbery-John_Complete-Recording_St-Marks_NY	33.405	33.605	up	0
Ashbery-John_Complete-Recording_St-Marks_NY	33.715	34.205	forever	0
Ashbery-John_Complete-Recording_St-Marks_NY	35.115	35.405	Like	0
Ashbery-John_Complete-Recording_St-Marks_NY	35.415	35.765	birds	0
Ashbery-John_Complete-Recording_St-Marks_NY	36.125	36.205	released	0
