file	beg	end	text	speaker
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	0.235	0.525	It's	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	0.605	0.885	woven	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	0.885	1.045	in	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.045	1.125	the	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.125	1.405	flowers	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.465	1.685	of	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.685	1.805	the	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.805	2.045	pattern	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	2.265	2.685	spread	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	3.225	3.445	and	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	3.515	3.805	lies	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	3.945	4.165	and	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	4.175	4.525	knows	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	4.525	4.725	not	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	4.725	5.005	what	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	5.005	5.165	it	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	5.165	5.485	thinks	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	5.875	6.165	upon	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	6.165	6.325	the	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	6.345	6.565	bed	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	8.525	8.645	I	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	8.645	8.845	wish	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	8.865	9.085	to	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	9.085	9.245	come	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	9.245	9.445	to	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	9.445	9.645	know	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	9.645	9.805	you	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	10.065	10.285	get	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	10.285	10.445	to	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	10.445	10.605	know	0
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	10.605	10.765	you	0
