file	beg	end	text	speaker
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	0.24	0.48	Two	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	0.48	0.93	sets	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	0.93	1.71	Double-deckered	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	1.71	1.86	on	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	1.86	2.16	each	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	2.16	2.79	window	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	3.3	3.69	White	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	3.75	3.93	with	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	3.93	3.99	a	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	3.99	4.56	four-inch	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	4.56	5.01	band	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	5.01	5.16	of	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	5.16	5.55	pink	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	5.55	5.73	and	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	5.73	6.06	white	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	6.06	6.87	stripes	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	6.93	7.53	hideous	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	7.53	8.25	half-inch	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	8.34	8.91	wide	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	9.03	9.6	vertical	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	9.6	9.96	pink	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	9.96	10.08	and	0
Bellamy-Dodie_Complete-Reading_A-Voice-Box_Canessa-Park_1-17-09	10.08	10.32	white	0
