file	beg	end	text	speaker
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.48	0.57	A	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.57	1.08	youthful	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.08	1.65	beauty	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.8	2.01	in	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.01	2.1	a	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.1	2.58	ruffled	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.58	3.21	blouse	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.27	3.6	writes	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.6	3.99	Sarah	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.99	4.59	McPhee	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	5.19	5.88	Costanza	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	5.88	6.06	was	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.06	6.36	about	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.36	7.14	24	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.14	7.35	in	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.35	7.89	Rome	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.22	8.4	with	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.4	8.52	her	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.52	9.06	talented	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	9.06	9.57	husband	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	9.57	10.17	Matteo	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.17	10.44	from	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.44	10.95	Lucca	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.37	11.61	So	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.61	11.82	he	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.82	12.0	could	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.0	12.36	work	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.36	12.51	with	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.51	12.81	Jean	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.81	13.47	Lorenzo	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	13.77	13.98	in	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	13.98	14.25	St	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.25	14.79	Peter's	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.79	14.97	on	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.97	15.6	Matilda's	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	15.6	16.17	tomb	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	17.46	17.58	a	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	17.58	18.15	fierce	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.15	18.36	and	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.36	18.99	sensual	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.99	19.35	woman	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.35	19.5	in	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.5	19.62	the	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	19.62	20.1	grip	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	20.1	20.22	of	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	20.22	20.88	passion	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	21.33	22.05	Wittkauer's	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.05	22.53	idea	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.53	22.71	of	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.71	22.89	what	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.89	22.98	it	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	22.98	23.28	meant	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.28	23.7	seems	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.7	23.97	more	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	23.97	24.12	than	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.12	24.21	a	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.21	24.6	little	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	24.6	25.11	overly	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	25.11	26.28	presumptuous	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	26.34	26.7	looking	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	26.7	27.0	now	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	27.0	27.12	at	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	27.12	27.21	the	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	27.21	27.96	photograph	0
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	28.41	29.1	striking	0
