file	beg	end	text	speaker
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	0.385	0.605	If	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	0.605	0.765	there	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	0.765	0.925	is	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	0.965	1.085	a	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	1.085	1.325	promise	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	2.395	2.885	there's	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	2.885	2.965	a	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	3.205	3.285	promised	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	3.435	3.725	land	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	3.815	4.165	right	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	4.165	4.325	in	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	4.325	4.485	the	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	4.485	4.725	body	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	5.745	5.965	But	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	5.965	6.125	the	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	6.125	6.325	land	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	6.345	6.565	is	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	6.565	7.045	overrun	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	7.065	7.285	by	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	7.645	7.845	creatures	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	8.065	8.285	who	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	8.285	8.525	feel	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	8.525	8.725	that	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	8.725	9.005	someone	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	9.035	9.325	must	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	9.345	9.565	get	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	9.565	9.725	the	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	9.725	10.045	trains	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	10.045	10.205	to	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	10.205	10.405	run	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	10.425	10.645	on	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	10.645	10.925	time	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	17.515	17.805	What	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	17.825	18.045	day	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	18.045	18.245	is	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	18.245	18.365	it	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	22.675	22.965	It's	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	23.035	23.325	moon	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	23.345	23.565	day	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	24.835	25.125	It's	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	25.235	25.525	land	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	25.545	25.765	day	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	27.715	28.005	It's	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	28.065	28.285	sun	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	30.205	30.325	I	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	30.325	30.565	don't	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	30.565	30.645	even	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	30.645	30.925	know	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	30.925	31.125	what	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	31.185	31.405	day	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	31.405	31.565	it	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	31.565	31.685	is	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	32.465	32.685	And	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	32.685	32.805	I	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	32.805	32.965	don't	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	32.965	33.085	give	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	33.125	33.245	a	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	33.245	33.565	flying	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	33.635	33.925	fuck	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	38.305	38.525	my	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	38.605	38.845	life	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	39.355	40.205	Disintegrates	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	41.265	41.485	and	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	41.765	42.365	reintegrates	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	43.905	44.125	in	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	44.125	44.285	the	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	44.285	44.525	process	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	45.245	45.365	I	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	45.395	45.685	lose	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	46.085	46.205	a	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	46.205	46.445	tiny	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	46.625	46.845	bit	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	47.305	47.525	of	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	47.625	47.845	my	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	48.195	48.805	integrity	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	56.335	56.685	Every	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	57.205	57.565	revolution	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	58.135	58.485	cells	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	58.745	58.965	die	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	60.245	60.485	regenerate	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	63.185	63.405	You	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	63.405	63.605	and	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	63.645	63.765	I	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	64.785	65.005	are	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	65.005	65.165	the	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	65.195	65.885	formulation	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	66.945	67.165	We	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	67.165	67.365	are	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	67.365	67.565	the	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	67.625	68.045	cosmic	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	68.155	68.765	InBetween	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	71.025	71.245	No	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	71.245	71.445	time	0
Berrigan-Ted-and-Schiff-Harris_Complete-recording_Public-access-poetry_8-4-77	71.465	71.685	for	0
