file	beg	end	text	speaker
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	0.905	1.125	So	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	1.125	1.325	you	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	1.325	1.565	think	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	1.665	1.885	his	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	1.955	2.245	song	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	2.265	2.685	caused	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	2.835	3.125	your	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	3.425	3.645	sad	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	3.645	4.085	feeling	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	5.225	5.515	Like	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	5.515	5.795	your	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	5.865	6.155	hand	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	6.675	6.835	touching	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	7.105	7.395	your	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	7.465	7.755	hand	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	10.945	11.065	A	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	11.065	11.305	girl	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	11.545	11.745	sings	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	11.745	12.065	along	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	12.065	12.545	without	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	12.545	12.865	knowing	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	12.925	13.145	the	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	13.145	13.385	words	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	13.685	13.905	and	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	13.925	14.345	enters	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	14.375	14.665	your	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	14.665	14.985	memory	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	16.775	17.065	That	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	17.065	17.425	there's	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	17.425	17.585	no	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	17.585	17.985	present	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	18.165	18.385	of	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	18.385	18.665	what	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	18.665	18.905	will	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	18.905	19.145	happen	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	19.205	19.425	to	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	19.425	19.625	her	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	19.765	19.985	is	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	20.455	20.745	your	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	21.135	21.825	expectation	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	24.415	24.655	Everyone	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	24.885	25.375	becomes	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	25.545	25.895	great	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	26.435	26.655	in	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	26.895	27.295	proportion	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	27.395	27.615	to	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	28.055	28.175	a	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	28.175	28.735	singer's	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	29.095	29.655	spurious	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	30.215	31.015	expectations	0
Berssenbrugge-Mei-Mei_Complete-Reading_UB_9-20-00	32.165	32.455	Like	0
