file	beg	end	text	speaker
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	0.24	0.33	So	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	0.33	0.48	you	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	0.48	0.66	can	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	0.66	1.05	change	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	1.05	1.2	the	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	1.2	1.5	word	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	1.5	1.62	for	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	1.62	2.16	happiness	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	2.25	2.58	that	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	2.58	2.85	was	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	2.97	3.51	formerly	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	3.57	4.08	innocence	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	4.74	4.86	The	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	4.86	5.46	respiratory	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	5.46	5.88	system	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	5.88	6.06	when	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	6.06	6.69	stimulated	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	6.69	7.29	produces	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	7.35	7.44	a	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	7.44	8.25	characteristic	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	8.25	8.79	sign	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	9.24	9.33	the	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	9.33	9.75	signless	0
Berssenbrugge-Mei-Mei_Complete-Recording_Segue-DH_NYC_2-21-98	9.75	10.26	extends	0
