file	beg	end	text	speaker
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.285	0.845	Stinking	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.845	1.005	of	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	1.105	1.525	sewers	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	1.905	2.125	and	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	2.125	2.325	of	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	2.385	2.805	myself	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.285	3.845	stinking	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.925	4.045	a	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.045	4.205	bit	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.425	4.645	of	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.645	4.805	the	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.805	5.365	lighter's	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	5.365	5.645	flame	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	5.965	6.525	stinking	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.525	6.765	like	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.765	6.925	that	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	7.145	7.565	rotten	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	7.565	7.845	apple	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	8.285	8.845	stinking	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	8.845	9.045	of	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	9.265	9.685	stupid	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	9.895	10.245	songs	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	10.925	11.045	sung	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	11.485	11.805	nowadays	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.265	12.485	and	0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.545	12.765	of	0
