file	beg	end	text	speaker
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.205	10.325	I	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.325	10.485	think	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.525	10.645	I	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.645	10.925	closed	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	10.925	11.165	this	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	11.165	11.445	first	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	12.455	12.805	group	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	14.985	15.275	with	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.275	15.395	a	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.395	15.555	poem	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.555	15.835	that's	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	15.835	16.075	also	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.015	17.235	in	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.235	17.355	the	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.355	17.515	end	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.515	17.715	of	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.715	17.915	the	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	17.915	18.075	earth	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	22.705	22.995	It's	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	22.995	23.275	called	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.275	23.555	Wait	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.555	23.755	List	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.755	23.955	in	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	23.955	24.075	the	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.075	24.275	Shadow	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.275	24.595	which	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.595	24.795	is	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.795	24.915	a	1
Bromige-David_Complete-Reading_Albany-CA_Fall-1968	24.915	25.075	line	1
