file	beg	end	text	speaker
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	1.83	1.98	I	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	1.98	2.25	thought	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.25	2.37	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.37	2.49	go	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.49	2.61	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.61	3.18	Chicago	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	3.18	3.45	right	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	3.45	3.87	away	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	4.23	4.44	and	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	4.44	5.07	suddenly	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	5.73	6.66	inexplicably	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.14	7.35	my	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.35	7.68	will	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.68	8.07	failed	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	8.07	8.28	me	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	9.72	9.93	Was	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	9.93	10.05	it	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.05	10.17	that	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.17	10.35	I'd	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.35	10.62	gotten	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.62	10.83	so	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.83	11.37	accustomed	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.37	11.46	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.46	11.7	living	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.7	11.82	all	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.82	11.97	by	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.97	12.51	myself	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.51	12.75	during	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.75	12.84	the	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.84	13.17	past	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	13.17	13.38	four	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	13.38	13.89	months	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.16	14.31	that	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.31	14.4	I	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.4	14.76	needed	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.76	14.91	no	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.91	15.06	one	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	15.06	15.45	else	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	16.77	16.95	An	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	16.95	17.22	older	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	17.22	17.58	woman	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	17.58	17.67	a	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	17.67	18.06	second	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	18.33	18.57	cousin	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	18.75	18.99	took	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	18.99	19.14	me	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	19.14	19.26	in	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	19.26	19.74	hand	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	20.46	20.67	but	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	20.67	20.76	I	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	20.76	20.94	was	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	20.94	21.18	able	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	21.18	21.27	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	21.27	21.48	keep	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	21.48	21.63	my	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	21.63	22.32	detachment	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	22.32	22.47	by	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	22.47	22.83	seeing	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	22.83	22.95	that	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	22.95	23.01	it	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.01	23.13	was	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.13	23.34	only	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.34	23.49	my	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.49	23.85	mental	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.85	24.15	image	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.15	24.3	of	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.3	24.45	her	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.45	24.6	that	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.6	24.72	was	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.72	25.05	making	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	25.05	25.32	love	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	25.32	25.47	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	25.47	25.65	me	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	26.25	26.67	whatever	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	26.67	26.82	our	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	26.82	27.21	bodies	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	27.21	27.36	were	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	27.36	27.51	up	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	27.51	27.69	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	29.61	30.06	Meanwhile	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	30.06	30.12	I	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	30.12	30.42	kept	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	30.42	30.48	a	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	30.48	30.81	close	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	30.81	31.11	watch	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	31.11	31.26	on	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	31.26	31.41	that	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	31.41	31.71	latter	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	31.71	32.37	activity	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	32.58	32.97	thinking	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	32.97	33.18	how	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	33.18	33.39	now	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	33.39	33.48	I	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	33.48	33.66	would	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	33.66	33.78	be	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	33.78	33.99	able	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	33.99	34.14	to	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	34.14	34.71	satisfy	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	34.71	35.07	Hilda	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	35.07	35.25	when	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	35.25	35.49	next	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	35.49	35.64	we	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	35.64	35.91	met	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	36.69	36.84	For	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	36.87	37.29	knowledge	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	37.29	37.65	However	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	37.65	38.28	required	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	38.46	38.67	is	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	38.67	39.12	power	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	41.85	41.97	I	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	41.97	42.24	must	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	42.24	42.66	confess	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	42.66	42.84	my	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	42.84	43.2	feelings	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	43.2	43.5	towards	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	43.5	43.8	Hilda	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	43.8	43.86	were	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	43.86	44.07	not	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	44.07	44.67	unmixed	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	45.06	45.24	At	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	45.24	45.66	times	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	45.66	45.75	I	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	45.75	45.93	would	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	45.93	46.29	decide	0
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	46.29	46.38	to	0
