file	beg	end	text	speaker
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.21	0.36	When	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.36	0.48	the	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.48	0.78	bunk	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	0.78	1.11	shook	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.11	1.35	so	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.35	1.68	hard	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	1.68	2.13	stuff	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.13	2.34	fell	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.34	2.58	from	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.58	2.64	the	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	2.64	3.09	ceiling	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	3.78	3.9	He	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	3.9	4.23	saw	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.23	4.47	whose	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.47	4.71	hand	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.71	4.8	it	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	4.8	5.19	was	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.27	6.42	but	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.42	6.51	the	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.51	6.78	woman	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.78	6.9	had	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	6.9	7.14	pulled	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.14	7.23	him	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.23	7.41	so	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.41	7.89	strongly	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	7.89	8.13	into	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.13	8.28	her	0
Bromige-David_Complete-Recording_New-Poems_Unknown-Reel	8.28	8.55	front	0
