file	beg	end	text	speaker
Davies-Alan_01_Complete-Reading_2-13-88	0.15	0.42	Why	0
Davies-Alan_01_Complete-Reading_2-13-88	0.42	0.54	we	0
Davies-Alan_01_Complete-Reading_2-13-88	0.54	0.81	say	0
Davies-Alan_01_Complete-Reading_2-13-88	0.81	0.9	of	0
Davies-Alan_01_Complete-Reading_2-13-88	0.9	0.99	an	0
Davies-Alan_01_Complete-Reading_2-13-88	0.99	1.68	experience	0
Davies-Alan_01_Complete-Reading_2-13-88	1.68	1.83	or	0
Davies-Alan_01_Complete-Reading_2-13-88	1.83	1.92	of	0
Davies-Alan_01_Complete-Reading_2-13-88	1.92	2.01	a	0
Davies-Alan_01_Complete-Reading_2-13-88	2.01	2.52	practice	0
Davies-Alan_01_Complete-Reading_2-13-88	2.52	2.67	that	0
Davies-Alan_01_Complete-Reading_2-13-88	2.67	2.79	it	0
Davies-Alan_01_Complete-Reading_2-13-88	2.79	2.97	is	0
Davies-Alan_01_Complete-Reading_2-13-88	2.97	3.39	deep	0
Davies-Alan_01_Complete-Reading_2-13-88	3.51	3.69	or	0
Davies-Alan_01_Complete-Reading_2-13-88	3.69	4.35	sinister	0
Davies-Alan_01_Complete-Reading_2-13-88	5.34	5.52	on	0
Davies-Alan_01_Complete-Reading_2-13-88	5.52	5.61	the	0
Davies-Alan_01_Complete-Reading_2-13-88	5.61	6.12	surface	0
Davies-Alan_01_Complete-Reading_2-13-88	6.12	6.36	He's	0
Davies-Alan_01_Complete-Reading_2-13-88	6.36	6.63	dealing	0
Davies-Alan_01_Complete-Reading_2-13-88	6.63	6.81	with	0
Davies-Alan_01_Complete-Reading_2-13-88	6.81	6.9	the	0
Davies-Alan_01_Complete-Reading_2-13-88	6.9	7.26	nature	0
Davies-Alan_01_Complete-Reading_2-13-88	7.26	7.38	of	0
Davies-Alan_01_Complete-Reading_2-13-88	7.38	7.47	the	0
Davies-Alan_01_Complete-Reading_2-13-88	7.47	7.95	mystical	0
Davies-Alan_01_Complete-Reading_2-13-88	7.95	8.04	or	0
Davies-Alan_01_Complete-Reading_2-13-88	8.04	8.13	the	0
Davies-Alan_01_Complete-Reading_2-13-88	8.13	8.88	religious	0
Davies-Alan_01_Complete-Reading_2-13-88	9.51	9.69	but	0
Davies-Alan_01_Complete-Reading_2-13-88	9.69	10.11	beneath	0
Davies-Alan_01_Complete-Reading_2-13-88	10.11	10.41	that	0
Davies-Alan_01_Complete-Reading_2-13-88	10.41	10.53	and	0
Davies-Alan_01_Complete-Reading_2-13-88	10.53	10.92	almost	0
Davies-Alan_01_Complete-Reading_2-13-88	10.92	11.31	certainly	0
Davies-Alan_01_Complete-Reading_2-13-88	11.31	12.12	unintentionally	0
Davies-Alan_01_Complete-Reading_2-13-88	12.51	12.66	the	0
Davies-Alan_01_Complete-Reading_2-13-88	12.66	13.02	broader	0
Davies-Alan_01_Complete-Reading_2-13-88	13.02	13.41	question	0
Davies-Alan_01_Complete-Reading_2-13-88	13.41	13.68	being	0
Davies-Alan_01_Complete-Reading_2-13-88	13.68	14.07	asked	0
Davies-Alan_01_Complete-Reading_2-13-88	14.07	14.49	is	0
Davies-Alan_01_Complete-Reading_2-13-88	14.82	15.09	why	0
Davies-Alan_01_Complete-Reading_2-13-88	15.09	15.18	do	0
Davies-Alan_01_Complete-Reading_2-13-88	15.18	15.42	we	0
Davies-Alan_01_Complete-Reading_2-13-88	15.42	16.2	objectivize	0
Davies-Alan_01_Complete-Reading_2-13-88	16.2	16.26	it	0
Davies-Alan_01_Complete-Reading_2-13-88	16.26	16.62	all	0
Davies-Alan_01_Complete-Reading_2-13-88	16.92	17.1	How	0
Davies-Alan_01_Complete-Reading_2-13-88	17.1	17.19	do	0
Davies-Alan_01_Complete-Reading_2-13-88	17.19	17.31	we	0
Davies-Alan_01_Complete-Reading_2-13-88	17.31	17.58	come	0
Davies-Alan_01_Complete-Reading_2-13-88	17.58	17.7	to	0
Davies-Alan_01_Complete-Reading_2-13-88	17.7	17.91	say	0
Davies-Alan_01_Complete-Reading_2-13-88	17.91	18.21	that	0
Davies-Alan_01_Complete-Reading_2-13-88	18.21	18.33	of	0
Davies-Alan_01_Complete-Reading_2-13-88	18.33	18.6	that	0
Davies-Alan_01_Complete-Reading_2-13-88	19.56	19.68	it	0
Davies-Alan_01_Complete-Reading_2-13-88	19.68	19.83	is	0
Davies-Alan_01_Complete-Reading_2-13-88	19.83	19.92	in	0
Davies-Alan_01_Complete-Reading_2-13-88	19.92	19.98	the	0
Davies-Alan_01_Complete-Reading_2-13-88	19.98	20.52	context	0
Davies-Alan_01_Complete-Reading_2-13-88	20.52	20.64	of	0
Davies-Alan_01_Complete-Reading_2-13-88	20.64	20.88	this	0
Davies-Alan_01_Complete-Reading_2-13-88	20.88	21.0	that	0
Davies-Alan_01_Complete-Reading_2-13-88	21.0	21.12	he	0
Davies-Alan_01_Complete-Reading_2-13-88	21.12	21.72	asks	0
Davies-Alan_01_Complete-Reading_2-13-88	21.75	22.2	quote	0
Davies-Alan_01_Complete-Reading_2-13-88	22.86	23.04	but	0
Davies-Alan_01_Complete-Reading_2-13-88	23.04	23.22	could	0
Davies-Alan_01_Complete-Reading_2-13-88	23.22	23.28	I	0
Davies-Alan_01_Complete-Reading_2-13-88	23.28	23.52	not	0
Davies-Alan_01_Complete-Reading_2-13-88	23.52	23.79	just	0
Davies-Alan_01_Complete-Reading_2-13-88	23.79	23.88	as	0
Davies-Alan_01_Complete-Reading_2-13-88	23.88	24.09	well	0
Davies-Alan_01_Complete-Reading_2-13-88	24.09	24.72	ask	0
Davies-Alan_01_Complete-Reading_2-13-88	24.78	24.96	when	0
Davies-Alan_01_Complete-Reading_2-13-88	24.96	25.05	I	0
Davies-Alan_01_Complete-Reading_2-13-88	25.05	25.29	see	0
Davies-Alan_01_Complete-Reading_2-13-88	25.29	25.68	someone	0
Davies-Alan_01_Complete-Reading_2-13-88	25.68	26.19	killed	0
Davies-Alan_01_Complete-Reading_2-13-88	26.49	26.67	is	0
Davies-Alan_01_Complete-Reading_2-13-88	26.67	26.76	it	0
Davies-Alan_01_Complete-Reading_2-13-88	26.76	27.12	simply	0
Davies-Alan_01_Complete-Reading_2-13-88	27.12	27.27	what	0
Davies-Alan_01_Complete-Reading_2-13-88	27.27	27.39	I	0
Davies-Alan_01_Complete-Reading_2-13-88	27.39	27.63	see	0
Davies-Alan_01_Complete-Reading_2-13-88	27.63	27.81	that	0
Davies-Alan_01_Complete-Reading_2-13-88	27.81	28.05	makes	0
Davies-Alan_01_Complete-Reading_2-13-88	28.05	28.17	an	0
Davies-Alan_01_Complete-Reading_2-13-88	28.17	28.59	impression	0
Davies-Alan_01_Complete-Reading_2-13-88	28.59	28.8	on	0
Davies-Alan_01_Complete-Reading_2-13-88	28.8	29.01	me	0
Davies-Alan_01_Complete-Reading_2-13-88	29.31	29.43	Or	0
Davies-Alan_01_Complete-Reading_2-13-88	29.43	29.7	does	0
Davies-Alan_01_Complete-Reading_2-13-88	29.7	29.91	this	0
Davies-Alan_01_Complete-Reading_2-13-88	29.91	30.15	come	0
Davies-Alan_01_Complete-Reading_2-13-88	30.15	30.3	with	0
Davies-Alan_01_Complete-Reading_2-13-88	30.3	30.39	the	0
Davies-Alan_01_Complete-Reading_2-13-88	30.39	31.2	hypothesis	0
Davies-Alan_01_Complete-Reading_2-13-88	31.2	31.35	that	0
Davies-Alan_01_Complete-Reading_2-13-88	31.35	31.68	someone	0
Davies-Alan_01_Complete-Reading_2-13-88	31.68	31.8	is	0
Davies-Alan_01_Complete-Reading_2-13-88	31.8	32.01	being	0
Davies-Alan_01_Complete-Reading_2-13-88	32.01	32.37	killed	0
Davies-Alan_01_Complete-Reading_2-13-88	32.37	32.64	here	0
Davies-Alan_01_Complete-Reading_2-13-88	32.85	33.03	End	0
Davies-Alan_01_Complete-Reading_2-13-88	33.03	33.33	quote	0
Davies-Alan_01_Complete-Reading_2-13-88	35.55	35.67	You	0
Davies-Alan_01_Complete-Reading_2-13-88	35.67	35.85	can	0
Davies-Alan_01_Complete-Reading_2-13-88	35.85	36.06	see	0
Davies-Alan_01_Complete-Reading_2-13-88	36.06	36.21	that	0
Davies-Alan_01_Complete-Reading_2-13-88	36.21	36.3	I	0
Davies-Alan_01_Complete-Reading_2-13-88	36.33	36.6	leave	0
Davies-Alan_01_Complete-Reading_2-13-88	36.6	36.75	him	0
Davies-Alan_01_Complete-Reading_2-13-88	36.75	36.93	with	0
Davies-Alan_01_Complete-Reading_2-13-88	36.93	37.32	credit	0
Davies-Alan_01_Complete-Reading_2-13-88	37.32	37.44	for	0
Davies-Alan_01_Complete-Reading_2-13-88	37.44	37.59	his	0
Davies-Alan_01_Complete-Reading_2-13-88	37.59	37.89	double	0
Davies-Alan_01_Complete-Reading_2-13-88	37.89	38.67	interrogative	0
Davies-Alan_01_Complete-Reading_2-13-88	39.27	39.42	but	0
Davies-Alan_01_Complete-Reading_2-13-88	39.42	39.51	I	0
Davies-Alan_01_Complete-Reading_2-13-88	39.51	39.78	can't	0
Davies-Alan_01_Complete-Reading_2-13-88	39.78	40.02	help	0
Davies-Alan_01_Complete-Reading_2-13-88	40.02	40.2	but	0
Davies-Alan_01_Complete-Reading_2-13-88	40.2	40.53	wonder	0
Davies-Alan_01_Complete-Reading_2-13-88	40.53	40.74	what	0
Davies-Alan_01_Complete-Reading_2-13-88	40.74	40.83	it	0
Davies-Alan_01_Complete-Reading_2-13-88	40.83	41.25	is	0
Davies-Alan_01_Complete-Reading_2-13-88	41.49	41.67	that	0
Davies-Alan_01_Complete-Reading_2-13-88	41.67	41.94	makes	0
Davies-Alan_01_Complete-Reading_2-13-88	41.94	42.06	him	0
Davies-Alan_01_Complete-Reading_2-13-88	42.06	42.69	experience	0
Davies-Alan_01_Complete-Reading_2-13-88	42.69	42.75	a	0
Davies-Alan_01_Complete-Reading_2-13-88	42.75	43.32	difference	0
Davies-Alan_01_Complete-Reading_2-13-88	43.32	43.68	between	0
Davies-Alan_01_Complete-Reading_2-13-88	43.68	43.86	what	0
Davies-Alan_01_Complete-Reading_2-13-88	43.86	43.95	he	0
Davies-Alan_01_Complete-Reading_2-13-88	43.95	44.52	sees	0
Davies-Alan_01_Complete-Reading_2-13-88	44.73	44.85	and	0
Davies-Alan_01_Complete-Reading_2-13-88	44.85	45.03	what	0
Davies-Alan_01_Complete-Reading_2-13-88	45.03	45.12	he	0
Davies-Alan_01_Complete-Reading_2-13-88	45.12	45.42	thinks	0
Davies-Alan_01_Complete-Reading_2-13-88	45.42	45.51	he	0
Davies-Alan_01_Complete-Reading_2-13-88	45.51	46.14	sees	0
Davies-Alan_01_Complete-Reading_2-13-88	56.035	56.325	Okay	0
Davies-Alan_01_Complete-Reading_2-13-88	57.78	58.29	um	0
Davies-Alan_01_Complete-Reading_2-13-88	60.09	60.3	now	0
Davies-Alan_01_Complete-Reading_2-13-88	60.3	60.42	I'll	0
Davies-Alan_01_Complete-Reading_2-13-88	60.42	60.75	read	0
Davies-Alan_01_Complete-Reading_2-13-88	60.75	60.99	uh	0
Davies-Alan_01_Complete-Reading_2-13-88	60.99	61.23	some	0
Davies-Alan_01_Complete-Reading_2-13-88	61.23	61.47	newer	0
Davies-Alan_01_Complete-Reading_2-13-88	61.47	62.07	poems	0
Davies-Alan_01_Complete-Reading_2-13-88	64.68	65.28	and	0
Davies-Alan_01_Complete-Reading_2-13-88	65.28	65.55	uh	0
Davies-Alan_01_Complete-Reading_2-13-88	68.7	68.94	some	0
Davies-Alan_01_Complete-Reading_2-13-88	68.94	69.0	of	0
Davies-Alan_01_Complete-Reading_2-13-88	69.0	69.15	these	0
Davies-Alan_01_Complete-Reading_2-13-88	69.15	69.27	were	0
Davies-Alan_01_Complete-Reading_2-13-88	69.27	69.66	published	0
Davies-Alan_01_Complete-Reading_2-13-88	69.66	69.75	in	0
Davies-Alan_01_Complete-Reading_2-13-88	69.75	70.26	Abacus	0
Davies-Alan_01_Complete-Reading_2-13-88	70.26	70.65	that	0
Davies-Alan_01_Complete-Reading_2-13-88	70.65	70.86	uh	0
Davies-Alan_01_Complete-Reading_2-13-88	71.4	71.76	David	0
