file	beg	end	text	speaker
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	0.545	0.765	The	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	0.765	1.045	beats	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.045	1.165	were	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.165	1.405	almost	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.405	1.685	always	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.685	2.005	serious	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.145	2.365	too	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.485	2.605	I	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.845	2.925	remember	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.035	3.325	that	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.325	3.485	got	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.485	3.645	me	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.645	3.845	into	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.845	3.965	the	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.125	4.325	literary	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.325	4.885	quarterlies	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.885	5.005	and	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.005	5.165	through	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.165	5.245	the	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.245	5.405	Iowa	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.405	5.765	Writers	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.125	6.325	Workshop	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.325	6.525	and	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.525	6.645	helped	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.645	6.805	me	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.805	7.245	understand	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.245	7.445	my	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.445	7.645	own	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.645	7.925	dark	0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.925	8.405	corners	0
