file	beg	end	text	speaker
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	0.0	0.36	Know	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	0.78	0.87	the	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	0.87	1.32	pleasures	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	1.32	1.44	of	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	1.44	1.56	the	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	1.56	2.22	flesh	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	2.7	3.06	still	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	3.06	4.2	under-celebrated	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	4.29	4.44	in	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	4.44	4.59	our	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	4.59	5.16	culture	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	5.34	5.52	They	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	5.52	5.82	they've	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	5.82	6.33	mapped	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	6.33	6.63	these	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	6.63	7.11	fears	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	7.11	7.23	of	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	7.23	7.86	seduction	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	7.86	7.98	and	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	7.98	8.46	pleasure	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	8.46	8.91	onto	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	9.0	9.06	the	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	9.06	9.69	television	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	9.69	9.78	the	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	9.78	10.2	Game	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	10.56	11.1	Boy	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	11.28	11.4	the	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	11.4	11.94	virtual	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	11.94	12.33	world	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	12.33	12.45	with	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	12.45	12.63	this	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	12.63	13.05	constant	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	13.05	14.22	gratifications	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	14.55	14.64	I	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	14.64	14.76	mean	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	14.76	14.88	it's	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	14.88	15.03	not	0
Drucker-Johanna_02_Complete-Lecture_UPenn_02-14-08	15.03	15.12	that	0
