file	beg	end	text	speaker
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	0.265	0.685	Ghosts	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	0.705	0.925	of	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	1.325	1.645	Christmas	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	1.715	2.005	that	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	2.005	2.445	hideous	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	2.445	2.685	ritual	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	2.825	3.045	of	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	3.045	3.325	virgin	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	3.415	3.765	birth	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	4.245	4.365	A	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	4.365	4.765	pretense	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	4.785	5.005	to	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	5.085	5.285	slaughter	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	5.495	5.845	lambs	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	5.845	6.085	later	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	6.105	6.325	in	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	6.325	6.405	the	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	6.405	6.605	year	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	7.075	7.365	Call	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	7.365	7.525	it	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	7.525	7.845	spring	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	7.955	8.245	Call	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	8.245	8.405	me	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	8.405	8.725	later	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	8.725	9.005	Make	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	9.005	9.165	up	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	9.165	9.285	the	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	9.285	9.405	bed	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	9.405	9.565	in	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	9.565	9.685	the	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	9.685	9.845	back	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	9.845	10.045	room	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	10.045	10.325	while	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	10.325	10.605	they're	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	10.605	10.845	staying	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	11.305	11.525	The	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	11.585	11.805	cat	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	12.225	12.445	had	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	12.445	12.605	no	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	12.605	12.885	idea	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	12.885	13.085	at	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	13.085	13.245	all	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	13.305	13.525	of	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	13.525	13.685	what	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	13.685	13.845	to	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	13.845	13.925	do	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	13.925	14.085	in	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	14.085	14.325	traffic	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	14.585	14.805	so	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	14.805	14.925	we	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	14.925	15.085	put	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	15.085	15.205	her	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	15.205	15.325	in	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	15.325	15.405	her	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	15.405	15.645	best	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	15.715	16.005	suit	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	16.155	16.645	striped	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	16.705	16.925	and	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	16.945	17.165	let	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	17.165	17.365	her	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	17.525	17.645	sing	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	17.645	17.805	to	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	17.805	17.965	her	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	17.965	18.445	heart's	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	18.445	18.805	content	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	19.745	19.965	My	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	19.965	20.445	assistant	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	20.565	21.125	requires	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	21.125	21.325	that	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	21.325	21.445	I	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	21.445	21.685	show	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	21.705	21.925	up	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	21.925	22.125	to	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	22.125	22.285	these	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	22.285	22.645	events	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	23.025	23.245	and	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	23.245	23.405	the	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	23.405	23.605	kids	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	23.615	23.965	spike	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	23.965	24.165	their	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	24.165	24.365	hair	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	24.395	24.685	wear	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	24.695	25.045	beads	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	25.045	25.165	and	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	25.165	25.325	think	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	25.325	25.445	that	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	25.445	25.605	they	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	25.605	25.725	are	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	25.745	25.965	hip	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	26.035	26.325	cool	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	26.355	26.845	Sliding	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	26.845	27.045	around	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	27.105	27.325	on	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	27.355	27.645	gold	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	28.005	28.565	cushions	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	28.565	28.685	in	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	28.685	28.805	front	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	28.805	28.925	of	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	28.925	29.045	a	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	29.045	29.325	Hello	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	29.455	29.805	Kitty	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	29.805	30.005	fantasy	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	30.135	30.485	scene	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	30.485	30.645	of	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	30.645	31.205	afterlife	0
Drucker-Johanna_Complete-reading_Weds-at-four-plus_Buffalo_10-23-02	31.545	31.765	in	0
