file	beg	end	text	speaker
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	0.695	1.045	Unmet	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	1.145	1.565	desire	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	2.085	2.405	stalks	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	2.425	2.645	the	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	2.705	2.925	bed	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	3.025	3.245	and	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	3.245	3.725	cupboard	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	4.745	5.165	desire	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	5.575	5.925	thick	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	6.125	6.685	brambles	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	8.505	8.725	She	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	8.785	9.205	stares	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.355	9.645	into	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.645	9.845	her	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	10.195	10.485	TV's	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	11.105	11.645	2:00 AM	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	11.985	12.405	glares	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	12.835	13.325	watches	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.505	13.725	the	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.725	13.885	way	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.905	14.125	she	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.125	14.365	once	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.365	14.645	watched	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.725	14.845	a	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.895	15.245	boy's	0
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	15.245	15.485	body	0
