file	beg	end	text	speaker
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	0.81	1.02	There	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.02	1.17	is	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.17	1.47	no	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.47	2.19	arguing	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	2.37	2.61	with	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	2.61	3.18	vain	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	3.18	3.81	terror	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	3.96	4.26	and	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	4.26	5.46	negligence	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.36	6.54	I	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.54	6.78	am	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.87	7.41	very	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	7.53	8.31	unwilling	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.49	8.64	and	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.64	8.85	not	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.85	9.69	obliged	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	9.78	9.96	to	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	9.96	10.29	write	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.29	10.47	my	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.47	11.01	history	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	11.01	11.16	of	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	11.16	12.03	melancholy	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.3	12.48	but	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.48	12.63	to	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.63	12.96	let	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	13.11	13.68	Madame	0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	13.68	14.04	do	0
