file	beg	end	text	speaker
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	0.305	0.525	He	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	0.545	0.765	had	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	0.845	0.965	a	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	1.095	1.445	lousy	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	1.445	1.725	temper	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	2.145	2.365	and	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	2.525	2.645	I	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	2.645	2.925	never	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	3.565	3.685	I	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	3.685	3.885	guess	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.045	4.165	I	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.165	4.365	never	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.395	4.685	will	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.705	4.925	get	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	4.945	5.165	rid	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	5.165	5.325	of	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	5.325	5.485	that	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	5.485	5.845	secret	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	6.035	6.325	self	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	6.335	7.005	protection	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	7.125	7.245	I	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	7.245	7.485	learned	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	7.515	7.805	then	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	8.675	8.965	They	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	8.965	9.165	both	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	9.165	9.445	were	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	9.645	9.925	fighters	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	10.305	10.525	My	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	10.525	10.685	mother	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	10.705	10.925	and	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	10.925	11.205	father	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	12.045	12.165	I	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	12.445	12.525	remember	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	12.525	12.685	him	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	12.685	13.005	pulling	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	13.065	13.285	the	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	13.285	13.925	tablecloth	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	13.985	14.205	off	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.205	14.365	the	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.365	14.525	table	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.555	14.845	when	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.845	14.965	his	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	14.965	15.325	breakfast	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	15.325	15.645	didn't	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	15.645	15.805	suit	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	15.805	15.965	him	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	15.995	16.285	What	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	16.325	16.445	a	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	16.445	16.725	mess	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	17.665	17.885	And	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	17.885	18.045	the	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.045	18.245	time	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.345	18.565	she	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.565	18.725	threw	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	18.845	18.965	a	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	19.085	19.285	meat	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	19.485	19.765	cleaver	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	19.765	19.965	after	0
Hawkins-Bobbie-Louise_01_Complete-Reading_Alfred-University_10-14-75	19.985	20.205	him	0
