file	beg	end	text	speaker
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	0.705	1.125	Fourth	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	1.215	1.885	disclaimer	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	2.755	3.045	from	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.045	3.245	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.245	3.485	gaming	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.575	3.925	table	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.985	4.205	to	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.205	4.325	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.325	4.525	early	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.745	5.165	opener	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.425	5.645	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.645	5.925	risk	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.945	6.165	of	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	6.165	6.445	needle	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	6.535	6.885	stick	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.025	7.245	Not	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.245	7.645	obvious	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.675	7.965	with	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.965	8.085	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	8.085	8.245	first	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	8.545	8.965	mezcal	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	9.295	9.645	those	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	9.785	10.005	sex	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.095	10.445	traps	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.495	10.845	skirt	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.945	11.165	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	11.165	11.405	dance	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	11.405	11.725	floor	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.025	12.245	And	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.445	12.565	I	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.785	13.005	its	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	13.005	13.205	center	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	13.965	14.525	lavender	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	14.655	15.005	swirl	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.105	15.525	opaque	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.525	15.765	with	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.945	16.165	dry	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	16.225	16.445	ice	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.085	17.205	A	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.235	17.725	paradox	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.725	17.925	of	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.925	18.085	people	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	18.215	18.885	cloistered	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	18.885	19.085	in	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.325	19.445	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.515	19.805	wild	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.305	20.525	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.525	20.805	state	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.825	21.045	of	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	21.045	21.365	nature	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	21.575	22.245	realigning	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	22.385	22.605	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	22.605	23.245	recognition	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.245	23.445	in	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.445	23.565	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.565	23.845	drama	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.945	24.165	of	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	24.175	24.845	substances	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	25.385	25.605	The	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	25.605	26.085	solitary	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.095	26.445	actor	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.445	26.925	holding	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.985	27.205	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	27.205	27.405	cup	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	27.475	27.765	high	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	28.215	28.885	projecting	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	29.105	29.325	his	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	29.325	29.605	voice	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	29.945	30.165	at	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.165	30.325	the	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.325	30.565	light	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.635	30.925	etch	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.925	31.205	ceiling	0
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	31.515	32.005	calling	0
