file	beg	end	text	speaker
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	0.305	0.525	Um	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	1.665	1.885	uh	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.135	2.485	it'll	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.485	2.645	tell	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.645	2.725	you	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.725	2.805	a	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.805	2.925	little	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.925	3.045	bit	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	3.045	3.285	about	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	4.535	4.755	um	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.185	6.475	when	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.515	6.635	I	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.635	6.835	come	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.835	6.995	up	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.995	7.315	against	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	7.385	8.075	impediments	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	8.295	8.515	and	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	8.895	9.115	and	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	9.215	9.435	um	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	9.685	10.035	which	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.035	10.235	is	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.235	10.435	often	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.495	10.715	and	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.715	10.875	then	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.875	11.155	what	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.155	11.275	I	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.275	11.395	do	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.395	11.675	about	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.675	11.835	them	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	12.455	12.675	or	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	12.675	12.715	at	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	12.715	12.835	least	0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	12.855	13.075	how	0
