file	beg	end	text	speaker
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	0.435	1.125	<inaudible>	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	1.125	1.325	with	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	1.345	1.565	one	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	1.565	1.765	hand	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	1.765	1.965	on	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	1.965	2.125	your	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	2.125	2.365	back	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	2.665	2.885	and	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	2.885	3.125	another	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	3.225	3.445	in	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	3.445	3.565	a	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	3.565	3.805	tunnel	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	4.115	4.605	Passing	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	4.605	4.965	through	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	5.035	5.525	invokes	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	5.715	6.205	caverns	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	6.205	6.805	unconscious	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	6.905	7.325	faults	0
Mirakove-Carol_Complete-Reading_New-reading-Series_a-Voice-Box_10-18-09	7.325	8.005	inadequately	0
