file	beg	end	text	speaker
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.235	0.725	Keeping	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.905	1.125	in	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.225	1.445	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.535	1.885	sheep	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.985	2.205	or	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.205	2.525	keeping	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.665	2.885	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.885	3.205	sheep	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.255	3.605	outta	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.705	3.925	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.925	4.205	field	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.275	4.565	That	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.625	4.845	was	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.945	5.165	not	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.665	5.885	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.885	6.245	appointed	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	6.245	6.725	pasture	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.225	9.445	The	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.445	10.005	deliberate	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.405	10.765	spacing	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.765	10.925	of	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.925	11.085	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	11.085	11.365	fence	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	11.575	11.925	posts	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.065	12.285	was	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.285	12.485	as	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.485	12.805	plain	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.945	13.165	as	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.185	13.405	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.685	14.085	apparently	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	14.225	14.445	un	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	14.445	14.885	deliberate	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.165	15.485	spacing	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.485	15.685	of	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.685	15.845	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.915	16.405	clumped	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	16.555	16.845	wild	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	17.035	17.325	iris	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	17.945	18.165	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.275	18.565	iris	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.625	18.845	in	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.845	18.965	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.965	19.285	field	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.675	19.965	that	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.025	20.245	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.245	20.485	fence	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.555	20.845	kept	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.865	21.085	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	21.085	21.365	sheep	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	21.435	21.725	from	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.185	23.405	But	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.405	23.645	this	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.665	23.885	was	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.885	24.085	when	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.085	24.245	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.245	24.445	fence	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.545	24.765	was	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.825	25.045	new	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	25.625	25.845	and	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	25.865	26.085	is	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.085	26.285	not	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.285	26.565	what	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.565	26.725	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.725	26.965	fence	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	27.225	27.445	is	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	28.725	29.085	Bulged	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	29.575	29.925	where	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	29.945	30.165	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	30.165	30.485	sheep	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	30.555	30.845	have	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	30.905	31.325	leaned	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	31.865	32.085	not	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.225	32.445	one	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.445	32.645	of	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.645	32.765	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.815	33.165	posts	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	33.405	33.525	straight	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	33.945	34.365	broken	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	34.585	34.805	in	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	34.805	35.045	places	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	35.345	35.565	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	35.565	35.805	regular	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	36.065	36.485	spaces	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	36.665	36.885	and	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	37.725	37.925	ion	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	39.905	40.125	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	40.215	40.885	rectangles	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	41.105	41.325	are	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	41.665	42.085	untrue	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	42.985	43.205	and	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.205	43.525	through	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.525	43.725	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.735	44.085	holes	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	44.545	44.765	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	44.775	45.125	sheep	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	45.125	45.405	have	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	45.405	45.765	passed	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	45.915	46.205	from	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.305	46.525	one	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.615	46.965	field	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	47.275	47.565	into	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	47.565	47.725	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	47.725	47.965	next	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	48.175	48.525	field	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	49.005	49.565	cropping	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	49.565	49.725	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	49.725	50.005	wild	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	50.235	50.525	iris	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	50.985	51.205	and	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	51.205	51.765	lessening	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	51.785	52.005	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	52.165	52.365	apparent	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	52.555	53.245	distinction	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	53.245	53.685	between	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	54.015	54.365	field	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	55.025	55.245	and	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	55.535	55.885	field	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	58.345	58.565	It	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	58.565	58.725	is	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	59.085	59.405	dangerous	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	59.745	59.965	to	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	60.065	60.285	say	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	60.515	60.805	with	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	60.805	61.005	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	61.005	61.325	words	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	61.675	62.165	rusting	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.265	62.485	as	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.485	62.685	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.825	63.045	old	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	63.195	63.485	wire	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	63.735	64.085	fence	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	64.475	64.765	read	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	64.815	65.165	where	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	65.165	65.365	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	65.365	66.045	galvanizing	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.185	66.405	has	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.515	66.805	worn	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.805	67.005	off	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	68.075	68.565	Whether	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	68.665	68.885	the	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	68.885	69.125	fence	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	69.505	69.725	has	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	69.965	70.045	suffered	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.525	70.645	a	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.645	70.845	kind	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.845	71.005	of	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	71.005	71.325	death	0
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	71.865	72.085	or	0
