file	beg	end	text	speaker
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.27	0.42	In	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.42	0.54	her	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.54	1.11	incredible	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	1.11	1.32	need	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	2.615	2.965	which	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	2.965	3.125	is	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.155	3.445	ours	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.445	3.446	which	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.725	3.885	is	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.885	4.365	ourselves	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.195	5.485	This	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.485	5.645	is	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.645	5.805	our	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.81	6.57	jubilation	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	7.17	7.8	exalted	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	7.8	7.92	and	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	7.92	8.1	as	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	8.1	8.49	old	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	8.94	9.09	as	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	9.09	9.27	that	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	9.27	9.87	truthfulness	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	10.47	10.68	which	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	10.685	11.164	illumines	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	11.164	11.165	speech	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.115	14.405	like	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.52	14.58	the	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.58	14.85	wind	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.85	14.94	and	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.94	15.03	the	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.03	15.54	trees	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.545	15.605	and	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.605	15.725	the	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.735	16.084	bells	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	16.225	16.445	of	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	16.68	16.74	the	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	16.74	17.49	procession	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	18.48	18.66	How	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	18.665	18.925	light	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	18.99	19.08	the	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	19.08	19.62	areas	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	19.62	19.71	of	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	19.71	19.89	the	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	19.89	20.22	earth	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	20.94	21.36	children	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	21.36	21.45	in	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	21.45	21.54	the	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	21.54	22.02	grass	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.32	22.5	in	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.5	22.56	the	0
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	22.56	22.83	wind	0
