file	beg	end	text	speaker
PhillyTalks5_Complete-Recording_03-03-98_UPenn	0.305	0.525	All	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	0.525	0.685	the	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	0.735	1.085	texts	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	1.085	1.285	in	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	1.285	1.405	the	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	1.405	1.645	book	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	1.645	2.045	somehow	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	2.915	3.205	took	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	3.215	3.565	place	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	4.345	4.565	in	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	5.005	5.125	a	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	5.125	5.445	space	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	5.445	5.725	that	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	5.725	5.925	he	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	5.925	6.325	defined	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	6.345	6.565	as	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	6.565	6.685	the	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	6.685	6.885	Middle	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	6.885	7.165	East	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	7.905	8.125	And	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	8.305	8.525	in	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	8.525	8.805	fact	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	8.995	9.285	many	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	9.285	9.405	of	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	9.405	9.525	them	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	9.585	10.005	really	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	10.225	10.645	didn't	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	10.785	11.005	or	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	11.055	11.405	don't	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	11.945	12.165	in	0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	12.245	12.365	a	0
