file	beg	end	text	speaker
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	0.45	1.11	Science	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	1.11	1.26	is	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	1.26	1.86	keeping	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	2.79	3.27	work	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.33	3.51	is	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.51	3.99	reaping	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.46	5.61	To	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.61	5.73	be	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.73	6.36	decorous	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.36	6.51	is	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.51	6.78	not	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.78	6.9	to	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.9	7.05	be	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	7.05	7.89	formalistic	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	8.52	8.64	The	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	8.64	9.09	first	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.09	9.21	may	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.21	9.6	simply	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.6	9.75	be	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.75	10.14	showing	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	10.14	10.92	sensitivity	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	10.92	11.1	to	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.1	11.19	a	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.19	11.58	formal	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.58	12.36	context	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	12.63	12.75	The	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	12.75	13.23	second	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	13.62	14.04	creates	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	14.04	14.1	a	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	14.1	14.79	context	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	15.99	16.14	and	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	16.14	16.59	everyday	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	16.59	17.19	practice	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	17.19	17.61	truths	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	17.61	17.7	are	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	17.7	18.3	detected	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	18.3	18.48	by	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	18.48	19.17	apprehending	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	19.17	20.01	cadences	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	20.37	20.73	These	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	20.73	20.85	are	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	20.85	21.66	confirmed	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	21.87	22.05	by	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	22.05	22.14	a	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	22.14	22.47	kind	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	22.47	22.56	of	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	22.56	23.19	subliminal	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	23.19	23.88	sounding	0
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	24.12	24.27	that	0
