file	beg	end	text	speaker
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.18	0.54	Shaking	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.54	0.66	it	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.66	0.72	I	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.72	0.87	look	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.87	0.93	at	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.93	1.11	your	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.11	1.44	watch	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.44	1.62	which	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.62	1.74	is	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.74	2.01	white	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.01	2.37	Roman	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.37	2.88	numerals	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.88	3.0	on	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.0	3.06	a	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.06	3.36	black	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.36	3.87	face	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.96	4.23	eye	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	4.23	4.59	past	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	4.59	4.62	eye	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.34	5.49	The	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.49	5.94	magazine	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.94	6.36	trembles	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	6.36	6.42	at	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	6.42	6.57	your	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	6.57	6.96	elbow	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.02	7.17	and	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.17	7.23	a	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.23	7.53	bright	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.53	7.8	yellow	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.8	8.19	card	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	8.19	8.55	falls	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	8.55	8.64	to	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	8.64	8.73	the	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	8.73	9.15	floor	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	9.57	9.81	Picking	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	9.81	9.96	it	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	9.96	10.08	up	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.08	10.2	with	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.2	10.29	my	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.29	10.56	left	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.56	10.77	hand	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.77	10.86	I	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.86	11.19	read	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.34	11.52	What	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.52	11.61	you	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.61	11.79	have	0
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.79	11.88	in	0
