file	beg	end	text	speaker
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.165	1.285	A	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.285	1.485	big	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.595	2.205	evergreen	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	2.235	2.525	tree	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	2.825	3.245	stands	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	3.355	3.845	outside	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	3.945	4.165	my	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	4.165	4.445	window	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	5.705	5.925	Its	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	5.925	6.245	roots	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	6.625	7.045	mumble	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.045	7.365	under	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.425	7.645	the	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.645	7.885	surface	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	9.805	9.925	a	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	9.925	10.165	long	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	10.685	10.965	concrete	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	11.155	11.645	divider	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	12.175	12.525	Steps	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	12.815	13.165	three	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.165	13.365	at	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.365	13.485	a	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.485	13.685	time	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	14.865	15.085	sky	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	15.305	15.725	cloudy	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	15.725	15.845	and	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	15.845	16.125	heavy	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	17.365	17.725	squeezing	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	17.925	18.045	a	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	18.155	18.445	thin	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	18.575	18.925	layer	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	19.185	19.405	of	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	19.405	19.725	light	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	19.955	20.445	against	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	20.585	20.805	the	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	20.805	21.045	city	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	22.505	22.725	The	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	22.725	22.965	first	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	23.385	23.605	red	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	23.625	24.045	leaves	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	24.465	24.685	of	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	24.685	24.885	an	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	24.885	25.405	otherwise	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	25.975	26.325	green	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	27.005	27.285	shrub	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	30.145	30.365	The	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	30.365	30.685	sisters	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	31.065	31.285	are	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	31.315	31.605	gone	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	31.605	31.885	from	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	31.885	32.045	the	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	32.045	32.325	convent	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	33.945	34.165	The	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	34.195	34.685	dancers	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	35.065	35.285	are	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	35.315	35.605	gone	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	35.605	35.885	from	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	35.905	36.125	the	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	36.125	36.405	hill	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	38.285	38.645	Mourning	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	39.185	39.405	has	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	39.405	39.685	come	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	39.685	39.885	to	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	40.025	40.245	its	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	40.355	40.645	noon	0
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	42.505	42.725	The	0
