file	beg	end	text	speaker
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	0.195	0.685	Forward	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	0.945	1.165	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.165	1.325	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.325	1.445	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.445	1.685	right	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	4.185	4.675	Zeroing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	4.775	4.995	in	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	5.055	5.275	on	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.275	6.395	a	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.395	6.595	rhythm	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.655	6.875	of	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.875	7.155	speech	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.185	7.475	that	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.475	7.715	moves	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.745	8.035	from	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.035	8.275	heart	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.295	8.515	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.515	8.795	heart	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	9.545	10.035	zeroing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.095	10.315	in	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.335	10.555	on	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.935	11.155	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.155	11.355	in	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.355	11.475	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.475	11.675	moment	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.975	12.395	unable	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.395	12.515	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.515	12.755	hold	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.755	12.955	onto	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	13.015	13.235	it	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	13.615	13.835	The	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	13.835	14.435	suspension	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.555	14.675	a	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.675	14.875	kind	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.875	15.035	of	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	15.035	15.355	start	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	16.135	16.355	way	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	16.355	16.715	classic	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	16.975	17.195	in	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	17.215	17.435	its	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	17.555	17.795	sundry	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	17.795	18.155	appeal	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	18.785	19.075	that	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	19.345	19.955	accordion	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	19.975	20.195	way	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	20.315	20.475	of	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	20.475	20.675	life	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	21.255	21.675	People	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	21.675	22.075	sitting	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	22.075	22.635	everywhere	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	23.215	23.435	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	23.465	23.755	walk	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	23.775	23.995	in	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	23.995	24.195	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	24.215	24.435	see	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	24.435	24.635	all	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	24.635	24.835	those	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	24.835	25.115	people	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	27.525	27.745	not	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	27.745	27.985	even	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	29.325	29.545	eye	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	29.665	30.225	stumbles	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	30.285	30.505	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	30.505	30.825	falls	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	30.935	31.425	becomes	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	31.445	31.665	an	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	31.665	31.985	empty	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	31.995	32.665	underscore	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	32.855	33.545	Italicizing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	33.615	34.105	nothing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	35.365	35.925	Hundreds	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	35.925	36.085	of	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	36.405	36.605	thousands	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	36.605	36.765	of	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	36.775	37.125	email	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	37.125	37.685	messages	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	37.875	38.165	gone	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	38.165	38.485	forever	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	39.025	39.445	Deeply	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	39.585	40.005	buried	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	40.265	40.485	in	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	40.635	41.125	unwound	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	41.355	41.645	Time	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	42.735	43.405	flickering	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	43.755	44.045	I'll	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	44.045	44.165	get	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	44.165	44.405	right	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	44.425	44.645	on	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	44.645	44.765	it	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	45.105	45.325	Get	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	45.325	45.445	it	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	45.445	45.685	right	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	46.145	46.365	And	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	46.825	47.245	that's	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	47.245	47.405	not	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	47.405	47.685	what	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	47.765	47.885	I	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	47.885	48.205	heard	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	50.725	51.215	Reading	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	51.355	51.575	by	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	51.685	51.975	hand	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	53.325	53.815	Writing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	53.915	54.135	in	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	54.135	54.415	pencil	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	54.825	55.175	lasts	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	55.175	55.495	longer	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	56.285	56.575	Pick	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	56.575	56.895	something	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	56.895	57.055	up	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	57.055	57.215	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	57.215	57.415	try	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	57.415	57.495	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	57.495	57.655	figure	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	57.655	57.855	out	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	57.855	58.055	how	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	58.055	58.215	it	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	58.215	58.375	works	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	58.915	59.135	Say	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	59.215	59.335	a	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	59.335	59.535	digital	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	59.555	59.975	camera	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	60.485	60.975	consult	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	60.975	61.135	The	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	61.135	61.375	manual	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	61.565	62.055	writing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.155	62.375	is	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.375	62.535	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.535	62.735	same	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.735	62.935	way	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	62.935	63.375	reading	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	63.515	63.735	by	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	63.735	64.015	hand	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	64.955	65.175	but	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	65.235	65.455	I'm	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	65.455	65.615	so	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	65.645	65.935	lazy	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	66.425	66.775	Don't	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	66.775	66.895	wanna	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	66.905	67.255	worry	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	67.775	67.895	I	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	67.895	68.175	stay	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	68.175	68.455	alone	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	68.475	68.695	at	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	68.695	68.895	night	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	69.435	69.655	The	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	69.655	69.855	writer	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	70.075	70.295	has	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	70.315	70.535	one	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	70.535	70.895	subject	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	71.315	71.535	It	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	71.535	71.695	is	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	71.695	71.855	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	71.915	72.135	act	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	72.195	72.415	of	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	72.415	72.655	being	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	72.665	73.015	alone	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	74.465	74.685	The	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	74.785	75.005	sky	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	75.025	75.245	is	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	75.445	75.685	brilliant	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	75.795	76.085	huge	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	76.275	76.765	cumulus	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	76.785	77.205	clouds	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	77.275	77.565	mass	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	77.565	77.845	above	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	77.845	78.045	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	78.045	78.325	lake	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	79.745	80.235	Writing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	80.425	80.715	goes	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	80.815	81.035	its	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	81.035	81.195	own	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	81.215	81.435	way	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	82.095	82.315	You	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	82.315	82.595	have	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	82.595	82.715	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	82.715	83.075	supply	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	83.095	83.315	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	83.315	83.875	synthesis	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	85.775	85.995	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	85.995	86.315	sound	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	86.315	86.515	of	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	86.655	86.875	car	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	86.875	87.155	doors	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	87.225	87.715	closing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	89.095	89.315	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	89.315	89.595	sound	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	89.595	89.755	of	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	89.815	90.035	car	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	90.035	90.275	doors	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	90.275	90.715	closing	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	90.895	91.315	voices	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	91.425	91.715	from	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	91.715	91.875	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	91.875	92.195	street	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	92.455	92.675	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	92.675	93.035	engine	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	93.035	93.315	starts	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	93.375	93.595	up	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	93.595	94.075	revving	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	94.075	94.195	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	94.195	94.395	pull	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	94.395	94.635	away	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	94.865	95.155	down	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	95.155	95.315	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	95.315	95.475	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	95.475	95.675	corner	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	95.895	96.115	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	96.185	96.475	gone	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	97.375	97.595	And	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	97.595	97.755	the	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	97.755	97.955	silence	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	98.025	98.315	that	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	98.345	98.835	follows	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	98.845	99.195	train	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	99.315	99.555	whistle	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	99.655	100.075	sounds	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	100.735	100.955	who	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	100.985	101.475	listens	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	102.185	102.475	then	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	102.575	102.795	jet	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	102.795	103.115	noise	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	103.515	103.835	overhead	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	104.495	104.715	who	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	104.765	105.115	stays	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	105.115	105.435	behind	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	105.535	105.755	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	105.775	106.195	report	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	106.775	106.995	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	107.135	107.355	who	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	107.735	107.955	in	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	107.955	108.235	some	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	108.235	108.475	other	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	108.505	108.795	time	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	108.855	109.075	and	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	109.075	109.275	place	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	109.985	110.475	quietly	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	110.565	110.915	waits	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	111.015	111.235	to	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	111.235	111.475	hear	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	111.625	111.915	word	0
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	113.375	113.595	up	0
