file	beg	end	text	speaker
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	0.025	0.445	Moving	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	0.445	0.845	forward	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	1.025	1.245	and	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	1.245	1.605	across	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	3.625	3.845	my	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	3.935	4.285	brain	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	4.295	4.645	cells	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	4.785	5.005	are	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	5.185	5.605	crispy	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	5.605	6.045	tonight	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	7.795	8.285	Silence	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	10.365	10.445	<laugh>	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	11.645	11.765	a	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	11.765	12.045	toolkit	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	13.215	13.565	Write	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	13.565	13.805	about	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	13.805	13.965	it	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	14.345	14.565	The	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	14.565	14.805	words	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	14.875	15.165	come	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	15.165	15.325	with	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	15.325	15.525	letters	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	15.705	15.925	pre	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	15.925	16.365	inscribed	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	16.825	17.045	The	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	17.045	17.285	letters	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	17.385	17.605	are	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	17.605	17.925	secure	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	17.925	18.085	in	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	18.085	18.245	their	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	18.245	18.765	variously	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	19.005	19.805	circumscribing	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	19.805	20.085	words	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	20.625	20.845	The	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	20.845	21.045	words	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	21.445	21.645	represent	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	21.645	21.765	a	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	21.765	21.885	kind	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	21.885	21.965	of	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	22.205	22.285	packaged	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	22.285	22.965	application	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	22.965	23.165	of	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	23.165	23.885	signification	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	24.385	24.605	The	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	24.605	24.845	letters	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	24.985	25.205	are	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	25.205	25.605	elements	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	25.605	25.805	in	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	25.805	25.925	a	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	25.925	26.085	toolkit	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	26.305	26.525	for	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	26.645	26.765	spelling	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	26.775	27.125	words	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	27.535	27.885	Think	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	27.885	28.125	about	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	28.125	28.285	it	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	28.495	28.845	Train	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	28.845	29.085	whistle	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	29.085	29.485	leaves	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	29.485	29.685	us	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	29.685	30.205	speechless	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	31.795	32.285	Imagine	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	32.285	32.605	letters	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	32.915	33.405	Imagine	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	33.405	33.685	letters	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	34.005	34.085	Breaking	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	34.085	34.285	the	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	34.285	34.685	boundaries	0
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	34.685	34.765	of	0
