file	beg	end	text	speaker
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.355	0.645	It's	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.645	0.725	a	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.725	1.085	ghetto	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	1.085	1.365	mall	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	1.755	2.045	with	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	2.045	2.285	anchor	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	2.395	2.885	tenants	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	2.885	3.085	Like	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	3.095	3.765	Woolworths	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	4.285	4.485	security	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	4.545	4.965	guards	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	4.965	5.245	wearing	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	5.315	5.605	guns	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.035	6.325	with	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.325	6.565	seven	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.585	6.805	or	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.805	6.965	eight	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	7.495	7.845	cheap	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	7.875	8.165	shoe	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	8.165	8.445	stores	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	8.495	8.845	white	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	8.845	9.445	mannequins	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	9.445	9.565	and	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	9.565	10.005	pennies	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	10.245	10.525	surrounded	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	10.525	10.725	by	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	10.745	11.165	clerks	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	11.165	11.325	and	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	11.365	11.925	shoppers	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	12.105	12.325	who	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	12.325	12.525	are	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	12.525	12.725	not	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	13.505	13.725	ah	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	14.275	14.565	swee	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	14.805	15.085	queasy	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	15.115	15.405	Feel	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	15.545	15.765	as	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	15.765	15.965	you	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	15.965	16.445	squeeze	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	16.875	17.365	lightly	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	17.425	17.645	Now	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	18.185	18.405	my	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	18.495	18.845	balls	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	19.505	19.725	the	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	19.885	20.245	strong	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	20.485	20.765	odor	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	20.765	20.965	of	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	20.965	21.085	his	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	21.085	21.285	own	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	21.285	21.605	urine	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	22.645	22.765	Standing	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	22.915	23.205	over	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	23.225	23.445	an	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	23.445	23.685	open	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	23.695	24.045	ditch	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	24.045	24.245	in	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	24.245	24.365	the	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	24.365	24.725	pouring	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	24.755	25.045	rain	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	25.135	25.485	thick	0
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	25.485	25.645	of	0
