file	beg	end	text	speaker
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	0.18	0.6	Wouldn't	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	0.6	0.78	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	0.78	1.14	Vat	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.17	1.95	Natchakul	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.95	2.37	also	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	2.37	2.55	be	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	2.55	3.0	melting	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.0	3.15	at	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.15	3.21	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.21	3.54	same	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.54	4.05	time	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	4.14	4.77	Humback	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	4.8	5.34	whale	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	5.4	5.79	and	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	5.79	6.03	then	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.03	6.21	and	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.21	6.36	then	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.36	6.48	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.48	6.87	Isle	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.87	7.23	Alps	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.23	7.38	and	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.38	7.44	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.44	7.98	tropical	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.98	8.25	ice	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.25	8.73	caps	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.73	8.85	and	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.85	8.91	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.91	9.51	Poles	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	9.51	10.17	Indiana	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	10.2	10.68	bat	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	10.8	11.31	And	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.31	11.46	then	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.46	11.67	they	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.67	12.0	read	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	12.0	12.12	that	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	12.12	12.33	While	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	12.33	12.39	a	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	12.39	12.72	quarter	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	12.72	12.81	of	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	12.81	12.9	an	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	12.9	13.17	inch	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	13.17	13.35	does	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	13.35	13.56	not	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	13.56	13.86	seem	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	13.86	14.04	like	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	14.04	14.49	much	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	14.52	14.64	a	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	14.64	15.06	rise	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	15.06	15.21	of	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	15.21	15.57	one	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	15.57	15.9	foot	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	15.9	15.99	of	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	15.99	16.38	ocean	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	16.38	16.74	level	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	16.74	17.25	typically	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	17.25	17.64	means	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	17.64	17.76	that	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	17.76	18.36	shorelines	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	18.36	18.54	end	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	18.54	18.72	up	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	18.72	19.35	100	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	19.35	19.65	feet	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	19.65	19.77	or	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	19.77	20.13	more	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	20.16	20.73	inland	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	21.09	21.57	iron	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	21.57	21.96	color	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	21.96	22.59	shiner	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	23.19	23.28	a	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	23.28	23.55	sea	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	23.55	23.88	rise	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	23.88	23.97	of	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	23.97	24.21	just	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	24.21	24.45	three	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	24.45	24.78	feet	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	24.78	24.93	and	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	24.93	25.65	Bangladesh	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	25.65	25.8	would	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	25.8	26.01	put	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	26.01	26.25	one	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	26.25	26.55	half	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	26.55	26.64	of	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	26.64	26.79	that	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	26.79	27.18	nation	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	27.18	27.75	underwater	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	27.87	28.32	replacing	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	28.32	28.53	more	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	28.53	28.65	than	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	28.65	29.76	100 million	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	29.76	30.36	people	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	30.66	31.23	Jara	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	31.23	32.01	Underwing	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	32.22	32.79	already	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	32.79	32.94	on	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	32.94	33.03	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	33.03	33.42	nine	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	33.42	33.9	islands	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	33.9	34.02	of	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	34.02	34.71	Tuvalu	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	34.71	35.22	farmers	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	35.22	35.43	must	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	35.43	35.64	grow	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	35.64	35.82	their	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	35.82	36.33	plants	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	36.33	36.42	in	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	36.45	37.05	containers	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	37.05	37.35	because	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	37.35	37.47	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	37.47	37.95	rising	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	37.95	38.16	sea	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	38.16	38.46	level	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	38.46	38.64	has	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	38.64	38.97	seeped	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	38.97	39.15	into	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	39.15	39.24	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	39.24	40.11	groundwater	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	40.5	41.07	Jefferson	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	41.07	41.91	Salamander	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	42.15	42.3	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	42.3	42.63	four	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	42.63	43.2	nations	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	43.2	43.32	of	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	43.32	44.07	Tuvalu	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	44.1	44.82	Karabas	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	44.85	45.81	Marshall Islands	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	45.81	46.02	and	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	46.02	46.59	Takalao	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	46.62	47.07	Islands	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	47.1	47.4	each	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	47.4	47.61	made	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	47.61	47.73	up	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	47.73	47.85	of	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	47.85	48.15	many	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	48.15	48.69	islands	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	48.93	49.05	will	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	49.05	49.32	most	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	49.32	49.71	certainly	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	49.71	49.83	be	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	49.83	50.28	entirely	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	50.28	50.97	displaced	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	50.97	51.09	in	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	51.09	51.15	the	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	51.15	51.48	next	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	51.48	51.81	30	0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	51.81	52.41	years	0
