file	beg	end	text	speaker
Sze-Arthur_Complete-Recording_UPenn_12-5-06	0.295	0.645	White	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	0.795	1.085	caps	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.245	1.805	unhealed	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.815	2.165	water	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.645	2.765	a	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.765	2.925	few	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.925	3.485	freighters	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	3.715	4.325	zigzagged	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.325	4.525	down	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.555	4.845	from	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.845	5.045	the	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.055	5.405	black	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.545	5.765	sea	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.005	7.245	Sunlight	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.505	7.925	flares	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.945	8.165	at	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.165	8.325	the	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.455	8.805	edges	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.805	9.005	of	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	9.005	9.405	leaves	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.035	10.325	Heat	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.395	10.885	ripples	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.945	11.165	up	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.165	11.445	from	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.445	11.605	the	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.675	11.965	noon	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	12.505	12.925	street	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.025	13.245	and	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.245	13.445	from	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.545	13.965	rusted	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	14.105	14.325	car	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	14.475	14.765	tops	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.345	15.565	The	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.565	15.845	salt	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.865	16.085	in	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.085	16.165	the	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.345	16.565	air	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.785	17.205	stings	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	17.425	17.645	my	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	17.795	18.085	eyes	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.685	18.805	I	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.805	19.045	lift	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.285	19.405	a	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.405	19.725	latch	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.195	20.485	step	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.795	21.085	into	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.165	21.285	a	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.285	21.565	patio	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.395	22.685	bird	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.705	22.925	of	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.285	23.525	paradise	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.745	23.965	in	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.975	24.325	bloom	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	25.585	25.805	But	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	26.085	26.445	approaching	0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	26.465	26.685	the	0
