file	beg	end	text	speaker
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	9.915	10.205	Well	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	10.245	10.365	I	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	10.41	10.56	read	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	10.56	10.65	the	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	10.65	10.89	fourth	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	13.47	13.74	brief	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	13.74	14.13	moments	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	14.13	14.28	with	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	14.28	15.0	Tchaikovsky	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	17.94	18.09	You	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	18.09	18.24	are	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	18.24	18.42	in	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	18.45	18.6	for	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	18.6	18.66	a	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	18.66	18.93	rare	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	18.93	19.35	treat	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	19.98	20.28	Peter	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	20.28	20.52	Ilyich	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	20.61	21.3	Tchaikovsky	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	21.3	21.42	is	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	21.42	21.51	in	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	21.51	21.57	a	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	21.57	21.99	playful	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	21.99	22.35	mood	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	23.64	23.91	Over	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	23.91	24.15	here	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	24.15	24.27	he	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	24.27	24.96	declares	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	24.96	25.26	pointing	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	25.26	25.38	to	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	25.38	25.47	the	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	25.47	26.13	croissant	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	26.13	26.4	sitting	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	26.4	26.73	atop	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	26.73	26.85	what	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	26.85	27.21	appears	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	27.21	27.3	to	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	27.3	27.42	be	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	27.42	27.48	a	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	27.48	27.96	raisin	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	28.38	28.53	is	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	28.53	28.62	the	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	28.62	29.31	extraordinary	1
Towle-Tony_Complete-Reading_Blue-Mountain-Gallery_NYC_2-8-86	29.31	29.55	Pere	1
