file	beg	end	text	speaker
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.12	0.51	Wanted	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.51	0.57	to	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.57	0.93	grab	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	0.93	1.11	my	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.11	1.56	face	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.56	1.68	with	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.68	1.77	the	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	1.77	2.4	pliers	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.4	2.49	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	2.49	2.94	dirty	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.06	3.24	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.24	3.63	dirt	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	3.63	4.17	trickling	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.17	4.38	from	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.38	4.53	their	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	4.53	5.16	lips	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	5.97	6.09	I	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.09	6.3	want	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.3	6.36	to	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.36	6.48	be	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.48	6.81	another	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	6.81	7.38	stumble	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.38	7.47	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	7.47	8.13	flesh	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	8.55	9.0	Glimpsed	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.0	9.18	from	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.18	9.24	a	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.24	9.78	crack	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.81	9.9	in	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	9.9	10.02	the	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	10.05	10.68	arcades	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	10.68	11.16	nougat	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	11.16	11.97	facade	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.21	12.42	Can	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.42	12.54	you	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.54	12.81	see	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.81	12.99	me	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	12.99	13.29	without	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.29	13.83	remembering	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	13.83	14.01	my	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	14.01	14.58	trim	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	14.58	15.09	voice	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.33	15.78	boiling	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.78	15.9	in	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.9	15.99	the	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	15.99	16.71	cauldrons	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.71	16.83	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	16.83	17.19	rural	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	17.19	18.09	drive-ins	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	18.33	18.72	old	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	18.72	19.23	cars	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.23	19.77	quivering	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	19.805	20.005	to	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.01	20.01	a	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.01	20.43	fresh	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.43	20.76	line	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.76	20.85	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	20.85	21.63	mattresses	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	21.96	22.41	ticking	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.41	22.5	in	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.5	22.59	the	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	22.59	23.4	calcified	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	23.4	24.0	vortex	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	24.0	24.15	of	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	24.21	24.78	gingham's	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	24.78	25.26	faded	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	25.26	25.71	dark	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	26.04	26.61	scuffed	0
Yau-John_02_Complete-Reading_SUNY-Buffalo_2-4-98	26.61	26.97	knee	0
