file	beg	end	text
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	0.0	0.54	Lib
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	0.54	0.98	Erte
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	0.98	1.7	rings
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	1.7	1.96	the
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	1.96	2.4	doorbell
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	2.4	2.66	at
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	2.66	3.14	Gene
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	3.14	3.3	Our
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	3.3	3.66	Nation
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	3.66	4.24	to
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	4.24	4.58	discuss
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	4.58	4.78	the
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	4.78	5.12	results
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	5.12	5.32	with
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	5.32	5.42	a
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	5.42	5.72	genetic
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	5.72	6.16	counselor.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	6.46	6.88	When
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	6.88	6.98	the
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	6.98	7.16	door
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	7.16	7.56	opens,
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	7.7	8.02	she's
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.02	8.36	surprised
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.36	8.54	to
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.54	8.76	find
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.76	8.92	a
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.92	9.16	room
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	9.16	9.44	full
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	9.44	9.64	of
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	9.64	9.92	people
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	9.92	10.16	dressed
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	10.16	10.38	as
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	10.38	10.6	crime
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	10.6	10.82	scene
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	10.82	11.46	investigators.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	11.8	12.36	A
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	12.36	12.54	young
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	12.54	12.82	woman
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	12.82	13.0	in
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	13.0	13.1	a
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	13.1	13.4	white
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	13.4	14.2	jumpsuit
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	14.2	14.54	with
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	14.54	14.68	her
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	14.68	15.1	forehead
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	15.1	15.7	tattooed,
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	15.8	16.16	I
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	16.16	16.48	Dream
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	16.48	16.82	of
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	16.82	17.34	Genies,
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	18.08	18.56	skateboards
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	18.56	18.9	over
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	18.9	19.08	to
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	19.08	19.3	her.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	19.54	19.92	Just
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	19.92	20.3	imagine
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	20.3	20.46	the
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	20.46	20.72	skateboard.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	24.1	24.66	Welcome,
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	24.94	25.06	I'm
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	25.06	25.32	Gal
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	25.32	25.84	Corky.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	25.88	25.94	Are
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	25.94	26.04	you
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	26.04	26.22	here
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	26.22	26.42	for
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	26.42	26.68	your
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	26.68	27.02	burqa?
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	28.159999999999997	28.64	Welcome,
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	28.94	29.04	I'm
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	29.04	29.28	Gal
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	29.28	29.78	Corky.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	29.84	29.9	Are
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	29.9	30.02	you
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.02	30.18	here
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.18	30.34	for
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.34	30.5	your
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.5	30.86	burqa
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.86	31.18	test
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	31.18	31.54	result?
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	32.2	32.42	Yes,
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	32.62	32.78	I'm
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	32.78	33.32	Lib
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	33.32	33.74	Erte,
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	33.9	34.32	and
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	34.32	34.46	my
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	34.46	34.78	doctor
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	34.78	35.14	called
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.14	35.32	to
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.32	35.5	say
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.5	35.66	that
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.66	35.74	it
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.74	35.88	was
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.88	36.14	ready.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	36.92	37.4	Unfortunately,
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	37.72	37.78	we
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	37.78	38.02	just
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	38.02	38.48	received
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	38.48	38.7	a
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	38.7	38.94	court
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	38.94	39.2	order
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	39.2	39.8	restraining
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	39.8	40.04	us
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	40.04	40.22	from
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	40.22	40.6	releasing
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	40.6	41.1	burqa
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	41.1	41.54	results
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	41.54	41.84	until
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	41.84	42.02	the
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	42.02	42.3	test
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	42.3	42.72	patent
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	42.72	43.24	dispute
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	43.24	43.56	is
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	43.56	44.1	resolved.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	44.34	44.7	But
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	44.7	44.82	I
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	44.82	45.0	have
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	45.0	45.18	good
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	45.18	45.42	news
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	45.42	45.62	for
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	45.62	45.82	you.
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	46.08	46.56	So
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	46.56	46.68	you
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	46.68	46.86	wouldn't
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	46.86	47.02	have
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	47.02	47.16	to
