file	beg	end	text
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	0.0	0.7	The
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	0.7	0.94	beats
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	0.94	1.1	were
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.1	1.34	almost
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.34	1.66	always
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.66	2.08	serious,
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.08	2.34	too,
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.4	2.5	I
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.5	2.84	remember.
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.04	3.28	That
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.28	3.44	got
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.44	3.6	me
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.6	3.78	into
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.78	3.92	the
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.92	4.24	literary
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.24	4.8	quarterlies
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.8	4.96	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.96	5.1	through
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.1	5.24	the
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.24	5.46	Iowa
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.46	5.76	Writers'
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.94	6.22	Workshop
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.22	6.48	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.48	6.64	helped
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.64	6.76	me
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.76	7.16	understand
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.16	7.4	my
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.4	7.6	own
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.6	7.88	dark
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.88	8.28	corners
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	8.28	8.48	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	8.48	8.76	sharp
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	8.76	9.18	angles,
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.2	9.36	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.36	9.48	then
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.48	9.66	one
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.66	9.8	day
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.8	9.94	I
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.94	10.34	realized
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	10.34	10.54	how
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	10.54	10.8	much
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	10.8	10.94	of
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	10.94	11.08	what
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	11.08	11.2	I
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	11.2	11.38	was
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	11.38	11.68	reading
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	11.68	11.92	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	11.92	12.22	often
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	12.22	12.84	admiring
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	12.84	13.62	going
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	13.62	13.84	on
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	13.84	14.08	around
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	14.08	14.28	me
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	14.28	14.4	in
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	14.4	14.48	the
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	14.48	14.8	poetry
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	14.8	15.14	world
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	15.14	15.34	was
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	15.34	15.44	a
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	15.44	15.62	kind
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	15.62	15.8	of
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	15.8	16.08	picking
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	16.08	16.32	of
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	16.32	16.9	scabs
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	16.9	17.1	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	17.1	17.52	flashing
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	17.52	17.7	the
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	17.7	18.0	open
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	18.0	18.52	sores
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	18.52	18.7	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	18.7	19.04	wounds
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	19.04	19.3	as
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	19.3	19.74	badges
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	19.74	20.0	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	20.0	20.54	credentials,
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	20.88	21.44	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	21.44	21.62	how
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	21.62	21.82	O
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	21.82	22.02	'Hara
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	22.02	22.44	totally
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	22.44	23.14	sidestepped
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	23.14	23.34	that
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	23.34	23.84	contemporary
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	23.84	24.32	tendency
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	24.32	24.64	by
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	24.64	25.06	tone
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	25.54	26.02	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	26.02	26.34	choice
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	26.34	26.48	of
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	26.48	27.02	vocabulary
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	27.02	27.34	that
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	27.34	27.54	cut
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	27.54	27.7	through
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	27.7	27.86	the
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	27.86	28.38	hopelessness
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	28.38	28.52	of
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	28.52	28.68	so
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	28.68	28.92	much
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	28.92	29.36	poetry
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	29.36	29.5	and
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	29.5	29.86	replaced
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	29.86	30.04	it
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	30.04	30.16	with
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	30.16	30.28	the
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	30.28	30.48	joy
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	30.48	30.66	of
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	30.66	30.9	writing
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	30.9	31.08	the
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	31.08	31.38	poem.
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	31.86	32.26	What
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	32.26	32.4	a
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	32.4	32.68	simple
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	32.68	32.86	but
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	32.86	33.22	wonderful
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	33.22	33.84	revelation.
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	34.800000000000004	35.2	The
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	35.2	35.52	joy
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	35.52	35.74	of
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	35.74	36.0	writing
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	36.0	36.18	it
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	36.18	36.5	down.
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	37.300000000000004	37.7	That
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	37.7	37.84	was
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	37.84	38.08	what
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	38.08	39.86	it
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	39.86	40.16	suddenly
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	40.16	40.56	seemed
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	40.56	40.72	to
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	40.72	40.86	be
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	40.86	41.2	about
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	41.2	41.4	in
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	41.4	41.52	a
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	41.52	41.62	way
