file	beg	end	text
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	0.0	0.46	But
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	0.46	1.7	I
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	1.7	2.54	think
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	2.54	2.78	that
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	2.78	3.6	she's
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	3.6	4.34	designedly,
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.34	4.54	in
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.54	4.66	a
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.66	4.88	way,
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.94	5.16	wanting
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.16	5.32	to
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.32	5.42	be
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.42	5.64	there.
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	6.720000000000003	7.2	And
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	7.2	7.5	laying
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	7.5	7.88	claim,
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	7.88	8.56	it's
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.56	8.7	one
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.7	8.8	of
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.8	8.9	the
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.9	9.2	places
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.2	9.46	where
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.46	9.58	you
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.58	9.82	begin
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.82	9.98	to
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.98	10.1	get
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.1	10.4	furious
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.4	10.62	because
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.62	10.74	you
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.74	11.06	realize
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.06	11.68	something's
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.68	11.76	being
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.76	12.02	laid
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	12.02	12.26	on
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	12.26	12.46	you
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	12.46	12.7	because
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	12.7	12.88	it's
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	12.88	13.0	not
