file	beg	end	text
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	0.0	1.04	144,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	1.54	2.12	permanence,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	2.24	2.48	absence
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	2.48	2.74	of
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	2.74	3.02	change,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	3.16	3.26	noun,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	3.46	3.98	permanence,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	4.08	4.52	permanency,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	4.6	4.76	no
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	4.76	5.06	change,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	5.22	5.44	status
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	5.44	5.66	quo,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	5.78	6.42	invariability,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	6.62	7.24	unchangeability,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	7.38	7.94	immutability,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	8.24	8.88	153,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	9.12	9.62	stability,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	10.22	10.52	lasting
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	10.52	10.88	quality,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	11.04	11.42	persistence,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	11.76	12.1	600,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	12.5	12.72	noun,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	12.94	13.3	600,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	13.76	14.28	perseverance,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	14.54	14.64	noun,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	14.9	15.3	perseverance,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	15.68	15.94	persistence,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	16.3	16.74	tenacity,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	16.92	17.46	pertinacity,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	17.72	18.5	pertinaciousness,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	18.9	19.52	stubbornness,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	19.94	20.48	602,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	20.8	21.24	noun.
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	23.339999999999996	23.939999999999998	602,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	23.939999999999998	24.54	obstinacy,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	24.66	24.78	noun,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	24.98	25.8	obstinacy,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	25.96	26.48	unyielding,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	26.56	26.88	tempered,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	27.1	27.5	termination,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	27.74	28.0	will,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	28.38	28.88	599,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	29.22	29.5	noun,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	29.7	30.12	599,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	30.5	31.04	resolution,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	31.24	31.34	noun,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	31.76	32.08	resolution,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	32.36	32.52	sticking
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	32.52	32.82	point,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	33.0	33.44	resoluteness,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	33.72	33.88	determination,
Dworkin-Craig_Complete-Reading_Segue-Series_12-14-2013	34.32	34.5	grim
