file	beg	end	text
PhillyTalks10_Complete-Reading_03-01-99_UPenn	0.0	1.0	texture
PhillyTalks10_Complete-Reading_03-01-99_UPenn	1.0	1.9	flowers
PhillyTalks10_Complete-Reading_03-01-99_UPenn	1.9	3.06	troubled
PhillyTalks10_Complete-Reading_03-01-99_UPenn	3.06	3.7	surface
PhillyTalks10_Complete-Reading_03-01-99_UPenn	3.7	4.44	foil
PhillyTalks10_Complete-Reading_03-01-99_UPenn	4.44	4.68	for
PhillyTalks10_Complete-Reading_03-01-99_UPenn	4.68	5.22	moods
PhillyTalks10_Complete-Reading_03-01-99_UPenn	5.22	5.86	before
PhillyTalks10_Complete-Reading_03-01-99_UPenn	5.86	6.1	the
PhillyTalks10_Complete-Reading_03-01-99_UPenn	6.1	6.46	drop
PhillyTalks10_Complete-Reading_03-01-99_UPenn	6.46	6.74	to
PhillyTalks10_Complete-Reading_03-01-99_UPenn	6.74	7.26	darken
PhillyTalks10_Complete-Reading_03-01-99_UPenn	7.26	7.58	it
PhillyTalks10_Complete-Reading_03-01-99_UPenn	10.259999999999998	11.46	employment
PhillyTalks10_Complete-Reading_03-01-99_UPenn	11.46	12.1	feigned
PhillyTalks10_Complete-Reading_03-01-99_UPenn	12.1	12.8	identity
PhillyTalks10_Complete-Reading_03-01-99_UPenn	12.8	13.4	his
PhillyTalks10_Complete-Reading_03-01-99_UPenn	13.4	13.86	second
PhillyTalks10_Complete-Reading_03-01-99_UPenn	13.86	14.28	nature
PhillyTalks10_Complete-Reading_03-01-99_UPenn	14.28	14.88	jacket
PhillyTalks10_Complete-Reading_03-01-99_UPenn	14.88	16.28	small
PhillyTalks10_Complete-Reading_03-01-99_UPenn	16.28	16.76	light
PhillyTalks10_Complete-Reading_03-01-99_UPenn	16.76	17.28	to
PhillyTalks10_Complete-Reading_03-01-99_UPenn	17.28	17.7	see
PhillyTalks10_Complete-Reading_03-01-99_UPenn	17.7	18.12	and
PhillyTalks10_Complete-Reading_03-01-99_UPenn	18.12	18.78	canvas
PhillyTalks10_Complete-Reading_03-01-99_UPenn	18.78	19.54	tunnel
PhillyTalks10_Complete-Reading_03-01-99_UPenn	19.54	20.42	barred
PhillyTalks10_Complete-Reading_03-01-99_UPenn	20.42	21.32	careen
PhillyTalks10_Complete-Reading_03-01-99_UPenn	23.839999999999996	25.04	inflicted
PhillyTalks10_Complete-Reading_03-01-99_UPenn	25.04	25.86	benefactor
PhillyTalks10_Complete-Reading_03-01-99_UPenn	25.86	26.56	claimed
PhillyTalks10_Complete-Reading_03-01-99_UPenn	26.56	26.76	the
PhillyTalks10_Complete-Reading_03-01-99_UPenn	26.76	27.02	wind
PhillyTalks10_Complete-Reading_03-01-99_UPenn	27.02	27.26	that
PhillyTalks10_Complete-Reading_03-01-99_UPenn	27.26	27.66	brush
PhillyTalks10_Complete-Reading_03-01-99_UPenn	27.66	27.92	the
