file	beg	end	text
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	0.0	0.7	forward
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	0.7	1.18	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.18	1.28	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.28	1.38	the
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.38	1.68	right
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.68	4.66	zeroing
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	4.66	4.92	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	4.92	5.22	on
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	5.22	6.38	a
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.38	6.6	rhythm
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.6	6.82	of
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.82	7.18	speech
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.18	7.42	that
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.42	7.76	moves
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.76	7.96	from
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.96	8.24	heart
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.24	8.44	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.44	8.8	heart
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.8	10.02	zeroing
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.02	10.24	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.24	10.54	on
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.54	11.16	and
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.16	11.28	in
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.28	11.4	the
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.4	11.76	moment
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.76	12.22	unable
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.22	12.46	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.46	12.7	hold
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.7	12.92	on
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.92	13.08	to
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	13.08	13.28	it
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	13.28	13.76	the
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	13.76	14.32	suspension
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.32	14.64	a
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.64	14.82	kind
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.82	14.98	of
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	14.98	15.46	start
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	15.46	16.32	way
