file	beg	end	text
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	0.0	0.6	Five,
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	1.06	1.48	minor
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	1.48	1.88	sentences
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	1.88	2.16	can
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	2.16	2.28	be
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	2.28	2.62	divided
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	2.62	2.84	into
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	2.84	3.1	three
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	3.1	3.68	primary
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	3.68	4.24	and
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	4.24	4.46	one
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	4.46	4.98	secondary
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	4.98	5.42	type
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	5.42	6.02	according
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	6.02	6.26	to
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	6.26	6.68	clause
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	6.68	7.28	structure.
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	8.040000000000003	8.46	These
Silliman-Ron_Complete-Recording_The-New-Sentence_SanFranArtInstitute_09-16-79	8.46	8.6	are
