file	beg	end	text
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	0.78	1.29	This
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	1.29	1.8	illusion
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	1.8	2.21	comes
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	2.21	2.51	up
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	2.51	2.81	very
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	2.81	3.44	close.
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	3.44	3.74	The
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	3.74	4.31	objects
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	4.31	4.48	in
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	4.48	4.68	it
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	4.68	4.93	look
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	4.93	5.2	like
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	5.2	5.6	familiar
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	5.6	6.22	things.
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	6.22	6.63	It
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	6.63	7.3	happens
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	7.3	7.45	at
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	7.45	8.03	times
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.03	8.33	that
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.33	8.62	come
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.62	8.77	to
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.77	8.93	us
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.93	9.11	in
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	9.11	9.19	a
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	9.19	9.69	direct
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	9.69	10.06	line,
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	10.06	10.31	as
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	10.31	11.28	light
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	11.28	11.75	moving
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	11.75	12.0	at
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	12.0	12.33	a
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	12.33	12.92	pretty
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	12.92	13.88	pace.
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	13.88	14.81	People
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	14.81	15.12	in
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	15.12	16.41	delirium
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	16.41	16.81	run
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	16.81	17.74	toward
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	17.74	18.54	it.
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	18.54	18.71	It
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	18.71	19.01	has
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	19.01	19.29	one
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	19.29	19.51	of
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	19.51	20.24	nature's
