file	beg	end	text
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	0.0	0.42	Come
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	0.42	0.92	from
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	0.92	1.12	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	1.12	1.73	middle
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	1.73	2.05	and
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	2.05	2.23	go
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	2.23	3.17	home,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	3.17	3.76	performing
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	3.76	4.2	woman
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	4.2	4.34	in
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	4.34	4.55	a
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	4.55	5.16	calabash,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	5.16	5.52	haste
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	5.52	5.74	to
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	5.74	6.32	display,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	6.32	6.52	and
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	6.52	6.78	all
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	6.78	7.38	plumb,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	7.38	8.11	passing
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.11	8.26	along
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.26	8.48	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.48	8.7	way
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.7	8.84	of
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.84	9.43	seamless
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	9.43	10.08	parlors,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	10.08	10.81	pastures,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	10.81	11.24	plates
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	11.24	11.38	in
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	11.38	12.06	flight,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	12.06	12.74	today
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	12.74	13.18	becomes
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	13.18	13.47	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	13.47	13.74	day
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	13.74	14.02	his
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	14.02	14.76	goldfish
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	14.76	15.51	thinking
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	15.51	16.3	stands,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	16.3	16.89	among
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	16.89	17.42	which
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	17.42	17.86	dial
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	17.86	18.32	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	18.32	18.66	last
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	18.66	18.87	of
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	18.87	19.2	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	19.2	19.93	food,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	19.93	20.59	fuel
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	20.59	20.66	or
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	20.66	20.99	its
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	20.99	21.84	night,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	21.84	22.3	which,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	22.3	23.03	thanks
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	23.03	23.24	for
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	23.24	23.55	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	23.55	24.05	money
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	24.05	24.28	in
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	24.28	24.6	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	24.6	25.2	park,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	25.2	25.76	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	25.76	26.03	rose
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	26.03	26.58	stood
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	26.58	26.85	to
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	26.85	27.48	land,
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	28.07	28.18	found
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	28.18	28.48	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	28.48	28.92	count
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	28.92	29.1	of
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	29.1	29.37	the
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	29.37	29.84	world
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	29.84	30.02	in
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	30.02	30.6	its
