file	beg	end	text
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	0.0	0.3	you
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	0.3	0.7	will
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	0.7	1.69	absolutely
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	1.69	2.0	not
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.0	2.12	it
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.12	2.34	is
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.34	2.68	perhaps
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.68	2.85	and
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.85	2.97	of
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.97	3.3	course
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	3.3	3.7	because
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	3.7	3.81	of
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	3.81	3.98	the
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	3.98	4.21	poor
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	4.21	4.48	bird
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	4.48	4.8	then
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	4.8	5.12	give
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	5.12	5.75	yourself
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	5.75	5.92	he
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	5.92	6.23	will
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	6.23	7.02	absolutely
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	7.02	7.27	not
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	7.27	7.52	kick
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	7.52	8.48	playing
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	8.48	8.83	the
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	8.83	9.36	body
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	9.36	9.92	perhaps
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	9.92	10.24	even
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	10.24	10.8	to
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	10.8	11.12	smell
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	11.12	11.28	of
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	11.28	11.36	the
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	11.36	11.95	playing
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	11.95	12.31	only
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	12.31	12.44	he
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	12.44	12.6	is
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	12.6	13.35	permitted
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	13.35	13.68	when
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	13.68	14.42	necessary
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	14.42	14.68	the
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	14.68	15.26	tiniest
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	15.26	15.42	of
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	15.42	16.09	thoughts
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	16.09	16.34	and
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	16.34	16.67	even
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	16.67	16.83	if
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	16.83	17.02	he
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.02	17.36	was
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.36	17.6	played
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.6	17.76	by
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.76	17.87	an
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.87	18.14	actor
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.14	18.25	he
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.25	18.58	should
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.58	18.69	be
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.69	19.02	played
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.02	19.13	by
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.13	19.24	an
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.24	19.5	actor
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.5	19.78	who's
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.78	20.05	never
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	20.05	20.32	acted
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	20.32	20.65	before
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	20.65	20.92	who's
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	20.92	21.25	always
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.25	21.52	been
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.52	21.62	more
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.62	21.68	of
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.68	21.84	an
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.84	22.48	introverted
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	22.48	22.71	type
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	22.71	22.82	of
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	22.82	22.99	guy
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	22.99	23.22	than
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	23.22	23.69	somebody
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	23.69	23.86	who
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	23.86	24.15	loves
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	24.15	24.32	the
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	24.32	24.83	limelight
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	24.83	24.94	he
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	24.94	25.23	could
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.23	25.34	be
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.34	25.69	played
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.69	25.91	by
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.91	26.25	steve
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	26.25	26.96	mclaughlin
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	26.96	27.01	a
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	27.01	27.18	six
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	27.18	27.4	foot
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	27.4	27.57	two
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	27.57	27.85	young
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	27.85	28.02	man
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	28.02	28.24	with
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	28.24	28.75	beautiful
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	28.75	28.97	pink
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	28.97	29.14	and
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	29.14	29.42	white
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	29.42	29.64	skin
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	29.64	29.81	and
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	29.81	30.03	long
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	30.03	30.25	thin
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	30.25	30.72	muscles
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	30.72	30.97	he
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	30.97	31.52	would
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.52	31.7	try
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.7	31.76	to
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.76	32.0	make
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.0	32.06	a
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.06	32.3	live
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.3	32.72	journal
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.72	32.84	in
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.84	33.02	the
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	33.02	33.32	voice
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	33.32	33.44	of
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	33.44	33.62	his
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	33.62	34.16	character
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	34.16	34.82	christmas's
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	34.82	35.18	sister
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	35.18	35.6	easter
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	35.6	35.9	because
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	35.9	35.98	of
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	35.98	36.11	her
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	36.11	36.48	interest
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	36.48	36.62	in
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	36.62	37.0	poetry
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	37.0	37.13	in
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	37.13	37.32	the
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	37.32	37.58	play
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	37.58	37.71	he
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	37.71	38.03	tries
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	38.03	38.16	to
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	38.16	38.48	start
