file	beg	end	text
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	0.0	0.98	But
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	0.98	1.15	I
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	1.15	2.6	think
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	2.6	2.84	that
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	2.84	3.38	she's
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	3.38	4.4	designedly,
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.4	4.52	in
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.52	4.58	a
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.58	4.9	way,
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	4.9	5.23	wanting
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.23	5.32	to
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.32	5.41	be
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.41	5.66	there.
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.66	5.97	And
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	5.97	6.62	laying
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	6.62	7.31	claim,
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	7.31	7.71	it's
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	7.71	8.02	one
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.02	8.22	of
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.22	8.57	the
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	8.57	9.22	places
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.22	9.46	where
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.46	9.6	you
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.6	9.84	begin
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.84	9.92	to
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	9.92	10.07	get
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.07	10.44	furious
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.44	10.77	because
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.77	10.91	you
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	10.91	11.23	realize
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.23	11.76	something's
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	11.76	12.0	being
Duncan-Robert_Complete-Recording_Lecture-On-Dickinson_New-College_6-23-81	12.0	12.19	laid
